Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceId
18,D,52.22013286,6.8955287,89.80000305175781,9,null,null,0,1377368306411,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
16,B,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
2,C,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
10,C,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
17,B,52.22030145,6.89538762,103,6,null,349.20001220703125,1,1377368380427,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
5,oranje,52.22031365,6.89529876,104,5,null,null,0,1377368391443,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
4,martin meijers,52.22031424,6.89499401,101.30000305175781,10,null,272.6000061035156,1.25,1377368408443,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
1,C,52.22031027,6.89472369,101.30000305175781,9,null,262.3999938964844,0.5,1377368417476,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
3,A,52.22010289,6.8945063,101.80000305175781,7,null,247,1.5811388492584229,1377368431430,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
22,C,52.22007777,6.89441978,104.80000305175781,6,null,268.3999938964844,0.5,1377368437424,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
13,dienst uitvoering onderwijs,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
14,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
15,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
21,2000,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
11,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
12,B,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
24,1.00,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
6,blauw,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
7,C,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
9,C,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432,AAA01,android,b44c6b15-1426-4a34-9924-b1c1f1b9cbf4
18,D,52.22093372610604,6.895656203857525,49,5,3,null,0,1377768948000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
16,B,52.2209330974633,6.895725689834817,43,5,4,null,0,1377769012000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
2,C,52.22089324151372,6.895692246041163,47,30,3,-1,-1,1377769107000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
10,C,52.22085678023493,6.895745303488239,47,5,3,165.234375,0.1459923684597015,1377769167000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
17,A,52.22085678023493,6.895745303488239,45,5,3,null,0,1377769213000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
5,Oranje,52.22090895758217,6.895765671512946,45,5,3,null,0,1377769269000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
4,Gerard Spijker,52.2208366217578,6.896521551540956,46,30,6,-1,-1,1377769635000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
1,C,52.22079165284728,6.896555665886864,46,5,2,null,0,1377769644000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
3,A,52.22073687711006,6.896607382229432,46,5,2,-1,0.4947759509086609,1377769652000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
22,C,52.22064320934211,6.89679337666081,44,5,3,110.7421875,0.7459340691566467,1377769663000,AAA01,ios,5374b50e-1a21-47bf-86bd-7da66dffc23f
