Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22093372610604,6.895656203857525,49,5,3,NaN,0,Thu Aug 29 2013 11:35:48 GMT+0200 (CEST)
2,B,52.2209330974633,6.895725689834817,43,5,4,NaN,0,Thu Aug 29 2013 11:36:52 GMT+0200 (CEST)
3,C,52.22089324151372,6.895692246041163,47,30,3,-1,-1,Thu Aug 29 2013 11:38:27 GMT+0200 (CEST)
4,C,52.22085678023493,6.895745303488239,47,5,3,165.234375,0.1459923684597015,Thu Aug 29 2013 11:39:27 GMT+0200 (CEST)
5,A,52.22085678023493,6.895745303488239,45,5,3,NaN,0,Thu Aug 29 2013 11:40:13 GMT+0200 (CEST)
6,Oranje,52.22090895758217,6.895765671512946,45,5,3,NaN,0,Thu Aug 29 2013 11:41:09 GMT+0200 (CEST)
7,Gerard Spijker,52.2208366217578,6.896521551540956,46,30,6,-1,-1,Thu Aug 29 2013 11:47:15 GMT+0200 (CEST)
8,C,52.22079165284728,6.896555665886864,46,5,2,NaN,0,Thu Aug 29 2013 11:47:24 GMT+0200 (CEST)
9,A,52.22073687711006,6.896607382229432,46,5,2,-1,0.4947759509086609,Thu Aug 29 2013 11:47:32 GMT+0200 (CEST)
10,C,52.22064320934211,6.89679337666081,44,5,3,110.7421875,0.7459340691566467,Thu Aug 29 2013 11:47:43 GMT+0200 (CEST)
11,Dienst Uitvoering Onderwijs,52.22030122769272,6.897596027708516,40,5,2,NaN,0,Thu Aug 29 2013 11:48:49 GMT+0200 (CEST)
12,C,52.22005609893446,6.897757966077791,46,5,2,-1,0.3784815073013306,Thu Aug 29 2013 11:49:09 GMT+0200 (CEST)
13,D,52.21990426075851,6.897827703512179,45,5,2,175.4296875,0.7657493948936462,Thu Aug 29 2013 11:49:25 GMT+0200 (CEST)
14,2000,52.21953017641997,6.897928705445396,46,5,2,162.421875,0.660038948059082,Thu Aug 29 2013 11:50:00 GMT+0200 (CEST)
15,D,52.2195688589031,6.898140851414667,45,5,2,NaN,0,Thu Aug 29 2013 11:50:17 GMT+0200 (CEST)
16,B,52.21952808094417,6.898372024304138,44,5,3,87.1875,1.374747633934021,Thu Aug 29 2013 11:50:24 GMT+0200 (CEST)
17,1,50,52.21953725912815,6.898639071739184,43,5,3,NaN,0,Thu Aug 29 2013 11:50:42 GMT+0200 (CEST)
