Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.22118741189539,6.896169955311772,14.56342315673828,30,57,NaN,0,Wed Aug 28 2013 16:48:44 GMT+0200 (CEST)
2,1,50,52.22112132137233,6.895152798039195,46.43703842163086,10,16.06878314928352,NaN,0,Wed Aug 28 2013 17:36:53 GMT+0200 (CEST)
3,C,52.22133841777126,6.897390683252273,42.3565673828125,10,19,NaN,0,Wed Aug 28 2013 17:41:28 GMT+0200 (CEST)
4,D,52.22138296759174,6.895100401890886,42.12864303588867,10,19,NaN,0,Wed Aug 28 2013 17:45:34 GMT+0200 (CEST)
5,B,52.22194926025141,6.89665893735382,43.26959228515625,5,9.5,NaN,0,Wed Aug 28 2013 17:49:31 GMT+0200 (CEST)
6,D,52.22258523138445,6.892779056972009,62.87832641601562,10,9,NaN,0,Wed Aug 28 2013 17:56:25 GMT+0200 (CEST)
7,2000,52.22258523138445,6.892779056972009,46.41880035400391,10,10.86495779934956,NaN,0,Wed Aug 28 2013 17:57:43 GMT+0200 (CEST)
8,C,52.22248195069854,6.892746103545352,40.56563568115234,10,12.16654588011353,NaN,0,Wed Aug 28 2013 17:58:24 GMT+0200 (CEST)
9,Dienst uitvoering onderwijs,52.22248195069854,6.892746103545352,52.3614501953125,10,10.49329439891437,NaN,0,Wed Aug 28 2013 17:59:02 GMT+0200 (CEST)
10,B,52.22248195069854,6.892746103545352,57.42910003662109,10,9.410053946303126,NaN,0,Wed Aug 28 2013 17:59:50 GMT+0200 (CEST)
