Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.22086922,6.89346301,116.7,24,null,147.60000610351562,0.800000011920929,Wed Aug 28 2013 17:46:38 GMT+0200 (CEST)
52.22085426,6.89352556,117.6,24,null,137,1.2000000476837158,Wed Aug 28 2013 17:46:39 GMT+0200 (CEST)
52.22085092,6.89367117,123.5,24,null,136.89999389648438,1,Wed Aug 28 2013 17:46:40 GMT+0200 (CEST)
52.22084435,6.89368113,123.5,32,null,136.89999389648438,1,Wed Aug 28 2013 17:46:41 GMT+0200 (CEST)
52.22086783,6.89378122,125.9,32,null,93.5999984741211,0.8999999761581421,Wed Aug 28 2013 17:46:42 GMT+0200 (CEST)
52.22087976,6.89382833,124.4,48,null,56.20000076293945,1.399999976158142,Wed Aug 28 2013 17:46:43 GMT+0200 (CEST)
52.22088474,6.89385305,124.4,48,null,56.20000076293945,1.399999976158142,Wed Aug 28 2013 17:46:44 GMT+0200 (CEST)
52.22090086,6.89388275,124.6,48,null,46.29999923706055,1.899999976158142,Wed Aug 28 2013 17:46:45 GMT+0200 (CEST)
52.22092068,6.89391351,125,64,null,45.400001525878906,2,Wed Aug 28 2013 17:46:46 GMT+0200 (CEST)
52.22095174,6.89395243,125.8,64,null,43.29999923706055,2.299999952316284,Wed Aug 28 2013 17:46:47 GMT+0200 (CEST)
52.22099311,6.89399728,126,64,null,36.79999923706055,3.0999999046325684,Wed Aug 28 2013 17:46:48 GMT+0200 (CEST)
52.22103899,6.89404552,126.3,96,null,0,0,Wed Aug 28 2013 17:46:49 GMT+0200 (CEST)
52.22125562,6.89426955,127.2,128,null,0,0,Wed Aug 28 2013 17:46:54 GMT+0200 (CEST)
52.22128001,6.89428186,127.5,128,null,0,0,Wed Aug 28 2013 17:46:55 GMT+0200 (CEST)
52.22129883,6.89428687,127.7,128,null,0,0,Wed Aug 28 2013 17:46:56 GMT+0200 (CEST)
52.22131323,6.89428706,127.9,128,null,0,0,Wed Aug 28 2013 17:46:57 GMT+0200 (CEST)
52.22103865,6.89455918,123.7,192,null,96.5,1.2999999523162842,Wed Aug 28 2013 17:46:59 GMT+0200 (CEST)
52.22103295,6.8945765,123.7,192,null,98.80000305175781,1.2999999523162842,Wed Aug 28 2013 17:47:00 GMT+0200 (CEST)
52.22102327,6.89459469,123.6,192,null,0,0,Wed Aug 28 2013 17:47:01 GMT+0200 (CEST)
52.2207819,6.8953438,null,30,null,null,null,Wed Aug 28 2013 17:46:47 GMT+0200 (CEST)
52.22053105,6.89524183,116.8,32,null,90,1.100000023841858,Wed Aug 28 2013 17:47:22 GMT+0200 (CEST)
52.22051764,6.89528455,112.8,24,null,95.5999984741211,1.100000023841858,Wed Aug 28 2013 17:47:23 GMT+0200 (CEST)
52.22051129,6.8953084,111.9,24,null,91.5999984741211,1.399999976158142,Wed Aug 28 2013 17:47:24 GMT+0200 (CEST)
52.22050275,6.89533182,112,24,null,98.80000305175781,1.5,Wed Aug 28 2013 17:47:25 GMT+0200 (CEST)
