Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2209498,6.8955384,null,52,null,null,null,Sat Aug 24 2013 12:01:25 GMT+0200 (CEST)
2,Martin Meijers,52.217299,6.8977224,null,40,null,null,null,Sat Aug 24 2013 12:11:10 GMT+0200 (CEST)
3,A,52.21950494684279,6.900179078802466,126.5999755859375,15,null,85,0,Sat Aug 24 2013 12:29:38 GMT+0200 (CEST)
4,C,52.21957900095731,6.898948112502694,106.4000244140625,10,null,269,0.8131499886512756,Sat Aug 24 2013 12:33:21 GMT+0200 (CEST)
5,B,52.22118099220097,6.898232214152813,105.5,25,null,8,2.3768999576568604,Sat Aug 24 2013 12:39:28 GMT+0200 (CEST)
6,2001,52.2214954,6.8974265,null,30,null,null,null,Sat Aug 24 2013 12:41:59 GMT+0200 (CEST)
7,B,52.22187597770244,6.896602269262075,93.5999755859375,15,null,7,1.4386500120162964,Sat Aug 24 2013 12:45:03 GMT+0200 (CEST)
8,B,52.22179735545069,6.895610271021724,87,40,null,10,0.9382500052452087,Sat Aug 24 2013 12:48:25 GMT+0200 (CEST)
9,1,50,52.22142465412617,6.895190589129925,98.5999755859375,15,null,175,0,Sat Aug 24 2013 12:50:22 GMT+0200 (CEST)
10,wit,52.221017964184284,6.893563913181424,90.4000244140625,10,null,271,0.9382500052452087,Sat Aug 24 2013 12:53:14 GMT+0200 (CEST)
