Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2234663,6.8914965,null,1377,null,null,null,1377337793505
2,dienst uitvoering onderwijs,52.2234663,6.8914965,null,1377,null,null,null,1377337793505
3,D,52.2234663,6.8914965,null,1377,null,null,null,1377338731510
4,D,52.2234663,6.8914965,null,1377,null,null,null,1377339728188
5,D,52.2234663,6.8914965,null,1377,null,null,null,1377340228236
6,1,00,52.2234663,6.8914965,null,1377,null,null,null,1377340568381
7,B,52.21995666666667,6.89414,43,5.699999809265137,null,352.8399963378906,0,1377341575000
8,C,52.220884999999996,6.893841666666667,38.8,6.400000095367432,null,334.6099853515625,0,1377341718000
9,C,52.22097,6.893378333333334,37.7,5,null,274.9700012207031,0,1377341749000
10,C,52.220953333333334,6.893233333333335,37.6,4.800000190734863,null,268.3599853515625,0,1377341758000
11,rood,52.221088333333334,6.89293,36.6,4.900000095367432,null,301.3500061035156,0,1377341784000
12,1,20,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
13,B,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
14,C,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
15,2001,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
16,C,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
17,C,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
18,A,52.22097166666667,6.892720000000001,35.1,6.400000095367432,null,229.75999450683594,0,1377341811000
19,alfred,52.220794999999995,6.892926666666667,32.7,6.900000095367432,null,225.66000366210938,0,1377341997000
20,C,52.220794999999995,6.892926666666667,32.7,6.800000190734863,null,225.66000366210938,0,1377342003000
