Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22078323364258,6.895873546600342,147,5.936328887939453,null,198.45703125,0.4487813115119934,1377337860000
2,Dienst Uitvoering Onderwijs,52.21847915649414,6.8894362449646,85,1.3038405179977417,null,0,0,1377338890000
3,C,52.22030258178711,6.886882781982422,77,1.5811388492584229,null,0,0,1377339220000
4,D,52.222049713134766,6.890144348144531,87,2.1633307933807373,null,85.5120849609375,0.7806000113487244,1377339692000
5,D,52.22128677368164,6.895186901092529,105,5.866856098175049,null,194.578857421875,0.29979220032691956,1377340478000
6,1,00,52.21980667114258,6.8961310386657715,91,4.939635753631592,null,0,0,1377341021000
7,A,52.220001220703125,6.8943071365356445,91,2.842534065246582,null,174.8199462890625,0,1377341577000
8,C,52.22006607055664,6.894350051879883,107,4.482186794281006,null,0,0,1377341600000
9,C,52.221126556396484,6.893792152404785,112,15.57562255859375,null,226.856689453125,0.6589707136154175,1377341725000
10,C,52.22098922729492,6.893599033355713,95,2.9546573162078857,null,303.0908203125,0.9819272756576538,1377341736000
11,geel,52.22114944458008,6.892998218536377,96,2.2360680103302,null,304.090576171875,0.8676199913024902,1377341778000
12,1,5,52.246063232421875,6.848645210266113,-2,53.17179870605469,null,119.849853515625,0,1377705175000
13,B,52.24620056152344,6.84873104095459,13,14.142843246459961,null,159.3841552734375,0,1377705186000
14,D,52.24624252319336,6.848688125610352,14,11.808895111083984,null,159.3841552734375,0,1377705190000
15,2001,52.24631881713867,6.84873104095459,24,9.167879104614258,null,159.3841552734375,0,1377705223000
16,C,52.24631881713867,6.84873104095459,24,8.668333053588867,null,159.3841552734375,0,1377705224000
17,B,52.246341705322266,6.848752498626709,25,5.16139554977417,null,159.3841552734375,0,1377705238000
18,B,52.246341705322266,6.848752498626709,25,5.16139554977417,null,159.3841552734375,0,1377705238000
19,Pieter,52.246395111083984,6.848773956298828,33,4.263801097869873,null,159.3841552734375,0,1377705276000
20,C,52.246395111083984,6.848773956298828,33,4.060788154602051,null,159.3841552734375,0,1377705282000
