Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.22056673,6.89410004,91.0999984741211,4,null,6.400000095367432,1,1377341669000
52.22060543,6.89409792,93.19999694824219,4,null,0.800000011920929,1,1377341672000
52.22062526,6.89409575,89.9000015258789,3,null,348.1000061035156,0.75,1377341674000
52.22065888,6.89410585,91,4,null,348.1000061035156,0.75,1377341679000
52.22068454,6.89409356,91.0999984741211,4,null,345.1000061035156,0.75,1377341682000
52.22072809,6.89405768,90.0999984741211,4,null,346.20001220703125,1,1377341687000
52.22075409,6.89404765,89,4,null,347,1.25,1377341689000
52.22079335,6.89404548,88.4000015258789,4,null,349.3999938964844,1.25,1377341693000
52.22083045,6.89405383,89.0999984741211,5,null,349.1000061035156,1.25,1377341697000
52.22087697,6.8940514,89.5999984741211,5,null,347.8999938964844,1.25,1377341702000
52.22088587,6.89405459,89.9000015258789,4,null,null,0,1377341705000
52.22090608,6.89401785,91.5999984741211,5,null,304.5,0.75,1377341713000
52.22091475,6.89400275,91.80000305175781,4,null,293.8999938964844,0.75,1377341714000
52.22092367,6.89397188,91.9000015258789,4,null,281.6000061035156,0.75,1377341716000
52.22093154,6.89393356,91.0999984741211,3,null,285,0.75,1377341718000
52.2209482,6.89389314,91.69999694824219,3,null,287.6000061035156,1,1377341720000
52.22096195,6.89385589,92.80000305175781,4,null,282.8999938964844,1,1377341722000
