Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2199018,6.8960806,null,883,null,null,null,Sat Aug 24 2013 11:57:38 GMT+0200 (CEST)
2,C,52.2199018,6.8960806,null,883,null,null,null,Sat Aug 24 2013 11:57:38 GMT+0200 (CEST)
3,C,52.2199022,6.8961273,null,795,null,null,null,Sat Aug 24 2013 11:58:25 GMT+0200 (CEST)
4,D,52.2199022,6.8961273,null,795,null,null,null,Sat Aug 24 2013 11:58:25 GMT+0200 (CEST)
5,A,52.22099084,6.89521839,81.9000015258789,7,null,null,0,Sat Aug 24 2013 12:00:16 GMT+0200 (CEST)
6,Albert Heijn,52.22099084,6.89521839,81.9000015258789,7,null,null,0,Sat Aug 24 2013 12:00:16 GMT+0200 (CEST)
7,Wit,52.22099084,6.89521839,81.9000015258789,7,null,null,0,Sat Aug 24 2013 12:00:16 GMT+0200 (CEST)
8,C,52.22099084,6.89521839,81.9000015258789,7,null,null,0,Sat Aug 24 2013 12:00:16 GMT+0200 (CEST)
9,C,52.22094603,6.89523209,77.5,5,null,null,0,Sat Aug 24 2013 12:01:55 GMT+0200 (CEST)
10,Dienst Uitvoerend Onderwijs,52.22094467,6.89523305,77.5999984741211,7,null,null,0,Sat Aug 24 2013 12:02:54 GMT+0200 (CEST)
11,19,95,52.22094475,6.89523327,77.80000305175781,7,null,null,0,Sat Aug 24 2013 12:03:16 GMT+0200 (CEST)
12,Roze,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
13,A,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
14,D,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
15,D,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
16,C,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
17,A,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
18,B,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
19,D,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
20,1,20,52.22094471,6.89523401,78.0999984741211,7,null,null,0,Sat Aug 24 2013 12:03:50 GMT+0200 (CEST)
