Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.22094493,6.8952329,77.69999694824219,9,null,null,0,Sat Aug 24 2013 12:02:50 GMT+0200 (CEST)
52.22094471,6.89523302,77.5999984741211,8,null,null,0,Sat Aug 24 2013 12:02:53 GMT+0200 (CEST)
52.22094467,6.89523305,77.5999984741211,7,null,null,0,Sat Aug 24 2013 12:02:54 GMT+0200 (CEST)
52.22080877999999,6.89557333,null,29,null,null,null,Sat Aug 24 2013 12:03:05 GMT+0200 (CEST)
52.22094454,6.89523325,77.80000305175781,7,null,null,0,Sat Aug 24 2013 12:03:05 GMT+0200 (CEST)
52.22085318999999,6.895446250000001,null,25,null,null,null,Sat Aug 24 2013 12:03:14 GMT+0200 (CEST)
52.22094475,6.89523324,77.80000305175781,9,null,null,0,Sat Aug 24 2013 12:03:14 GMT+0200 (CEST)
52.22094479,6.89523321,77.80000305175781,8,null,null,0,Sat Aug 24 2013 12:03:15 GMT+0200 (CEST)
52.22094475,6.89523327,77.80000305175781,7,null,null,0,Sat Aug 24 2013 12:03:16 GMT+0200 (CEST)
52.22094473,6.89523393,78,6,null,null,0,Sat Aug 24 2013 12:03:45 GMT+0200 (CEST)
