Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2210137,6.8953978,null,26,null,null,null,1377338254296
2,A,52.2210137,6.8953978,null,26,null,null,null,1377338254296
3,blauw,52.2209978,6.8954206,null,24,null,null,null,1377338274275
4,jan,52.2208493,6.895292,null,24.104000091552734,null,null,null,1377338279676
5,C,52.2208493,6.895292,null,24.104000091552734,null,null,null,1377338279676
6,B,52.2208493,6.895292,null,24.104000091552734,null,null,null,1377338279676
7,goud,52.22085196059197,6.895234510302544,75.29998779296875,10,null,120,0.1251000016927719,1377338342000
8,C,52.22085015848279,6.8952367734164,75.29998779296875,15,null,120,0,1377338356000
9,C,52.22085015848279,6.8952367734164,75.29998779296875,15,null,120,0,1377338356000
10,5,00,52.22085015848279,6.8952367734164,75.29998779296875,15,null,120,0,1377338356000
11,B,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
12,dienst uitvoering onderwijs,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
13,D,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
14,D,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
15,B,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
16,C,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
17,2000,52.22085015848279,6.8952367734164,75.29998779296875,10,null,120,0,1377338407000
