Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.2195251,6.8962079,null,71.5780029296875,null,null,null,1377338484209
52.22005476,6.89577041,18,16,null,null,0,1377338585000
52.2200528,6.89577399,18,16,null,null,0,1377338586000
52.22005182,6.89577578,18,15,null,null,0,1377338587000
52.22005133,6.89577668,18,16,null,null,0,1377338588000
52.2195558,6.8961962,null,68.90799713134766,null,null,null,1377338488679
52.22005109,6.89577711,18,16,null,null,0,1377338589000
52.22004707,6.89578448,16.700000762939453,16,null,null,0,1377338590000
52.22004505,6.89578815,16.700000762939453,16,null,null,0,1377338591000
52.22004404,6.89579001,16.700000762939453,15,null,null,0,1377338592000
52.22004334,6.89579123,16.799999237060547,14,null,null,0,1377338593000
52.22004277,6.89579219,16.799999237060547,14,null,null,0,1377338594000
52.22004241,6.8957928,16.799999237060547,14,null,null,0,1377338595000
52.2200422,6.89579314,16.799999237060547,14,null,null,0,1377338596000
52.22004207,6.89579343,16.899999618530273,14,null,null,0,1377338597000
52.22004194,6.89579365,16.899999618530273,14,null,null,0,1377338598000
52.22004187,6.89579379,16.899999618530273,15,null,null,0,1377338599000
52.22004176,6.895794,16.899999618530273,15,null,null,0,1377338600000
52.22004168,6.89579414,16.899999618530273,16,null,null,0,1377338601000
52.22004154,6.89579433,16.899999618530273,15,null,null,0,1377338602000
52.22004136,6.8957946,16.899999618530273,14,null,null,0,1377338603000
52.22004121,6.89579479,16.899999618530273,14,null,null,0,1377338604000
52.22004107,6.89579493,16.899999618530273,15,null,null,0,1377338605000
52.2200406,6.89580028,16.899999618530273,15,null,171.5,0.5,1377338606000
52.22003386,6.89581518,18.799999237060547,16,null,171.5,0.5,1377338607000
52.22002582,6.8958338,19.5,16,null,171.5,0.5,1377338608000
52.22001585,6.8958541,20.700000762939453,17,null,171.5,0.5,1377338609000
52.2195558,6.8961962,null,68.90799713134766,null,null,null,1377338509380
52.22000516,6.89587673,21.5,17,null,171.5,0.5,1377338610000
52.21999339,6.89590267,21.899999618530273,18,null,171.5,0.5,1377338611000
52.21998165,6.89592692,22.299999237060547,18,null,171.5,0.5,1377338612000
52.21996918,6.89595185,22.200000762939453,19,null,171.5,0.5,1377338613000
52.2199563,6.8959783,22,20,null,171.5,0.5,1377338614000
52.21994673,6.89600714,22.600000381469727,21,null,171.5,0.5,1377338615000
52.21993487,6.8960345,22.700000762939453,18,null,171.5,0.5,1377338616000
52.21992367,6.89606077,23.100000381469727,18,null,171.5,0.5,1377338617000
52.21991478,6.89608372,23.399999618530273,17,null,171.5,0.5,1377338618000
52.2199115,6.8961061,24.100000381469727,17,null,171.5,0.5,1377338619000
52.21991202,6.89612454,25.399999618530273,17,null,171.5,0.5,1377338620000
52.21991127,6.89614152,26.399999618530273,18,null,171.5,0.5,1377338621000
52.21990867,6.89614909,28.700000762939453,18,null,171.5,0.5,1377338622000
52.21990561,6.89615255,30.200000762939453,18,null,171.5,0.5,1377338623000
52.21989799,6.89615041,32.599998474121094,18,null,null,0,1377338624000
52.2196116,6.8962131,null,65.50800323486328,null,null,null,1377338524450
52.2198883,6.89614679,33.599998474121094,18,null,null,0,1377338625000
52.21987652,6.89614784,35.79999923706055,18,null,null,0,1377338626000
52.21986927,6.89615257,36.599998474121094,18,null,171.5,0.25,1377338627000
52.21985837,6.89617049,37.70000076293945,17,null,171.5,0.25,1377338628000
52.21984453,6.89618353,39.20000076293945,15,null,171.5,0.5,1377338629000
52.21982756,6.89619145,41.400001525878906,15,null,171.5,0.5,1377338630000
52.21981149,6.8961952,44.099998474121094,14,null,171.5,0.5,1377338631000
52.21979644,6.89619665,46.599998474121094,14,null,171.5,0.5,1377338632000
52.21978221,6.89619539,48.29999923706055,15,null,171.5,0.5,1377338633000
52.21976801,6.89619673,51.099998474121094,15,null,171.5,0.5,1377338634000
52.21975621,6.89619742,51.29999923706055,14,null,171.5,0.5,1377338635000
52.2197465,6.89619959,52.79999923706055,14,null,171.5,0.5,1377338636000
52.21973835,6.89620953,54.400001525878906,14,null,171.5,0.5,1377338637000
52.21973053,6.89621935,56.20000076293945,14,null,171.5,0.5,1377338638000
52.21972485,6.89622972,57.29999923706055,15,null,171.5,0.5,1377338639000
52.21971834,6.8962465,57.400001525878906,15,null,108.5,1,1377338640000
52.21971085,6.89626219,58.79999923706055,16,null,100.9000015258789,1,1377338641000
52.21970042,6.89627289,59.900001525878906,16,null,110.69999694824219,1,1377338642000
52.21968567,6.89628221,60.599998474121094,17,null,123.5,1,1377338643000
52.21967078,6.89629295,61.5,17,null,129.6999969482422,1,1377338644000
