Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.2208557,6.8953707,null,23.023000717163086,null,null,null,1377337012489
2,martin meijers,52.217363747768104,6.899279365316033,114.9000244140625,15,null,103,0,1377338007000
3,wit,52.21644915640354,6.902135415002704,114.5,5,null,53,0,1377338274000
4,A,52.2194838244468,6.900347974151373,78,5,null,8,0.1251000016927719,1377338777000
5,A,52.21791125368327,6.898234561085701,85.20001220703125,20,null,106,0.4378499984741211,1377339969000
6,C,52.2183153,6.8974354,null,1010,null,null,null,1377340002093
7,C,52.21796837635338,6.89825895242393,89.20001220703125,5,null,355,0.2502000033855438,1377340011000
8,blauw,52.217563362792134,6.897706165909767,108.4000244140625,15,null,246,0.3127500116825104,1377340099000
9,C,52.217213585972786,6.897817812860012,101,15,null,175,0.4378499984741211,1377340200000
10,C,52.2214507,6.897597,null,30,null,null,null,1377340713971
11,1,00,52.2198205254972,6.895956192165613,109,15,null,1,0,1377341289000
