Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1.50,52.22153791,6.89516942,106.30000305175781,12,null,356.5,0.25,Sat Aug 24 2013 11:31:13 GMT+0200 (CEST)
2,C,52.22146075,6.89746131,83.5,13,null,107.0999984741211,1.25,Sat Aug 24 2013 11:33:50 GMT+0200 (CEST)
3,oranje,52.2168646,6.90241986,114.4000015258789,22,null,null,0,Sat Aug 24 2013 11:55:44 GMT+0200 (CEST)
4,martin meijers,52.21717013,6.89922634,108.19999694824219,12,null,null,0,Sat Aug 24 2013 12:02:02 GMT+0200 (CEST)
5,C,52.21715951,6.89922157,107.19999694824219,13,null,null,0,Sat Aug 24 2013 12:02:40 GMT+0200 (CEST)
6,A,52.21797329,6.89944447,108.30000305175781,14,null,null,0,Sat Aug 24 2013 12:06:20 GMT+0200 (CEST)
7,A,52.21796341,6.89951189,119.0999984741211,25,null,null,0,Sat Aug 24 2013 12:09:07 GMT+0200 (CEST)
8,C,52.2188812,6.898592310000001,null,50,null,null,null,Sat Aug 24 2013 12:11:21 GMT+0200 (CEST)
9,blauw,52.21905605,6.89631275,95.30000305175781,13,null,null,0,Sat Aug 24 2013 12:18:43 GMT+0200 (CEST)
10,C,52.21905568,6.89631494,95.19999694824219,11,null,null,0,Sat Aug 24 2013 12:18:46 GMT+0200 (CEST)
11,B,52.22005777,6.89433547,94.5999984741211,15,null,null,0,Sat Aug 24 2013 12:28:03 GMT+0200 (CEST)
12,1,00,52.21986828,6.89618615,87.5999984741211,19,null,80.9000015258789,0.25,Sat Aug 24 2013 12:32:01 GMT+0200 (CEST)
