Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.2170103,6.89911319,96.9,128,null,0,0,Sat Aug 24 2013 12:10:36 GMT+0200 (CEST)
52.21701031,6.89911323,96.9,128,null,0,0,Sat Aug 24 2013 12:10:37 GMT+0200 (CEST)
52.2177934,6.8991554,null,27,null,null,null,Sat Aug 24 2013 12:10:01 GMT+0200 (CEST)
52.21701022,6.8991135,96.7,32,null,0,0,Sat Aug 24 2013 12:10:51 GMT+0200 (CEST)
52.21701022,6.89911349,96.7,32,null,0,0,Sat Aug 24 2013 12:10:52 GMT+0200 (CEST)
52.21701023,6.89911349,96.7,32,null,0,0,Sat Aug 24 2013 12:10:53 GMT+0200 (CEST)
52.21701023,6.89911348,96.7,32,null,0,0,Sat Aug 24 2013 12:10:54 GMT+0200 (CEST)
52.21701026,6.89911348,96.7,32,null,0,0,Sat Aug 24 2013 12:10:55 GMT+0200 (CEST)
52.21701024,6.89911347,96.7,32,null,0,0,Sat Aug 24 2013 12:10:56 GMT+0200 (CEST)
52.21701035,6.89911353,96.7,32,null,0,0,Sat Aug 24 2013 12:10:57 GMT+0200 (CEST)
52.21701049,6.89911369,96.7,24,null,0,0,Sat Aug 24 2013 12:10:58 GMT+0200 (CEST)
52.21701062,6.89911377,96.7,24,null,0,0,Sat Aug 24 2013 12:10:59 GMT+0200 (CEST)
52.21701087,6.89911391,96.7,24,null,0,0,Sat Aug 24 2013 12:11:00 GMT+0200 (CEST)
52.21701087,6.8991139,96.7,24,null,0,0,Sat Aug 24 2013 12:11:01 GMT+0200 (CEST)
52.21701094,6.89911399,96.7,24,null,0,0,Sat Aug 24 2013 12:11:02 GMT+0200 (CEST)
52.21701093,6.89911407,96.7,24,null,0,0,Sat Aug 24 2013 12:11:03 GMT+0200 (CEST)
52.21701095,6.89911418,96.7,24,null,0,0,Sat Aug 24 2013 12:11:04 GMT+0200 (CEST)
52.217011,6.8991142,96.6,24,null,0,0,Sat Aug 24 2013 12:11:05 GMT+0200 (CEST)
52.21701094,6.89911422,96.6,24,null,0,0,Sat Aug 24 2013 12:11:06 GMT+0200 (CEST)
52.21701096,6.89911426,96.6,24,null,0,0,Sat Aug 24 2013 12:11:07 GMT+0200 (CEST)
52.21701096,6.89911429,96.6,24,null,0,0,Sat Aug 24 2013 12:11:08 GMT+0200 (CEST)
52.21701094,6.8991143,96.6,24,null,0,0,Sat Aug 24 2013 12:11:09 GMT+0200 (CEST)
52.21701093,6.89911437,96.5,24,null,0,0,Sat Aug 24 2013 12:11:10 GMT+0200 (CEST)
52.21701086,6.89911438,96.5,32,null,0,0,Sat Aug 24 2013 12:11:11 GMT+0200 (CEST)
52.21701089,6.89911438,96.5,32,null,0,0,Sat Aug 24 2013 12:11:12 GMT+0200 (CEST)
52.21701093,6.89911442,96.5,32,null,0,0,Sat Aug 24 2013 12:11:13 GMT+0200 (CEST)
52.21701096,6.89911444,96.5,32,null,0,0,Sat Aug 24 2013 12:11:14 GMT+0200 (CEST)
52.21701102,6.89911448,96.4,32,null,0,0,Sat Aug 24 2013 12:11:15 GMT+0200 (CEST)
52.21701115,6.89911459,96.4,24,null,0,0,Sat Aug 24 2013 12:11:16 GMT+0200 (CEST)
52.21701124,6.89911466,96.4,24,null,0,0,Sat Aug 24 2013 12:11:17 GMT+0200 (CEST)
52.21701129,6.89911477,96.4,24,null,0,0,Sat Aug 24 2013 12:11:18 GMT+0200 (CEST)
52.21701147,6.89911492,96.4,24,null,0,0,Sat Aug 24 2013 12:11:19 GMT+0200 (CEST)
52.21701159,6.89911499,96.4,24,null,0,0,Sat Aug 24 2013 12:11:20 GMT+0200 (CEST)
52.21701183,6.89911516,96.4,24,null,0,0,Sat Aug 24 2013 12:11:21 GMT+0200 (CEST)
52.21701178,6.89911517,96.3,24,null,0,0,Sat Aug 24 2013 12:11:22 GMT+0200 (CEST)
52.21701181,6.89911521,96.3,24,null,0,0,Sat Aug 24 2013 12:11:23 GMT+0200 (CEST)
52.2178969,6.8990214,null,33,null,null,null,Sat Aug 24 2013 12:10:46 GMT+0200 (CEST)
52.21701191,6.89911526,96.3,24,null,0,0,Sat Aug 24 2013 12:11:24 GMT+0200 (CEST)
52.21701197,6.89911533,96.3,24,null,0,0,Sat Aug 24 2013 12:11:25 GMT+0200 (CEST)
52.21701202,6.89911535,96.3,24,null,0,0,Sat Aug 24 2013 12:11:26 GMT+0200 (CEST)
52.21701203,6.89911539,96.3,24,null,0,0,Sat Aug 24 2013 12:11:27 GMT+0200 (CEST)
52.21701208,6.89911544,96.3,24,null,0,0,Sat Aug 24 2013 12:11:28 GMT+0200 (CEST)
52.21701208,6.89911547,96.3,24,null,0,0,Sat Aug 24 2013 12:11:29 GMT+0200 (CEST)
