Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1,50,52.22103573511789,6.895293552706931,135.30072857778757,32,null,null,0,Sat Aug 24 2013 11:30:05 GMT+0200 (CEST)
2,1,52.21974358300103,6.896249340820822,97.66336030407987,8,null,343.1312255859375,0,Sat Aug 24 2013 11:33:59 GMT+0200 (CEST)
3,C,52.21974720100409,6.896208157599387,96.73195559768041,8,null,184.46029663085938,0,Sat Aug 24 2013 11:34:15 GMT+0200 (CEST)
4,martin meijers,52.21658077593602,6.899402775531423,92.86215213331877,16,null,254.7880401611328,0,Sat Aug 24 2013 11:44:53 GMT+0200 (CEST)
5,oranje,52.21618817395157,6.902574167189018,88.60842845677615,12,null,270.82501220703125,0,Sat Aug 24 2013 11:53:14 GMT+0200 (CEST)
6,A,52.2163875491367,6.902509319205609,92.02729107826669,8,null,182.89344787597656,0,Sat Aug 24 2013 11:54:39 GMT+0200 (CEST)
7,C,52.21639149513437,6.902487426838922,91.68704735411696,12,null,174.6551513671875,0,Sat Aug 24 2013 11:55:04 GMT+0200 (CEST)
8,C,52.21723305899978,6.899281745574521,103.05728743948633,12,null,293.25250244140625,0.7952240705490112,Sat Aug 24 2013 12:00:13 GMT+0200 (CEST)
9,blauw,52.217296883551,6.897745508195037,102.35551457942061,16,null,96.56559753417969,0,Sat Aug 24 2013 12:14:03 GMT+0200 (CEST)
10,C,52.21749321357425,6.897840481002527,96.07015613851887,8,null,327.8468933105469,0.6714193224906921,Sat Aug 24 2013 12:15:22 GMT+0200 (CEST)
11,C,52.22101598526758,6.897979660217941,90.55148060529076,12,null,296.4627380371094,0,Sat Aug 24 2013 12:22:49 GMT+0200 (CEST)
12,B,52.221921829320586,6.896622358571532,83.4324645007989,8,null,13.880351066589355,1.1119930744171143,Sat Aug 24 2013 12:27:50 GMT+0200 (CEST)
13,2000,52.22195725774275,6.896638275200597,89.97475640858869,12,null,128.5678253173828,0.5242405533790588,Sat Aug 24 2013 12:29:02 GMT+0200 (CEST)
14,D,52.221000901961304,6.8934463988857155,90.13081238721875,6,null,0.7269076108932495,0,Sat Aug 24 2013 12:38:02 GMT+0200 (CEST)
15,D,52.220966061067756,6.893499914426171,87.91824685877984,12,null,232.11181640625,0.363690048456192,Sat Aug 24 2013 12:38:12 GMT+0200 (CEST)
16,dienst uitvoering onderwijs,52.22097530015445,6.893573296538174,87.04444238167223,48,null,80.38042449951172,0,Sat Aug 24 2013 12:38:39 GMT+0200 (CEST)
17,B,52.219912203121325,6.894185042774082,86.36409629937111,12,null,167.08616638183594,0.7627804279327393,Sat Aug 24 2013 12:41:36 GMT+0200 (CEST)
18,D,52.220068398508815,6.894296591507064,98.30643257957769,16,null,342.3201904296875,0,Sat Aug 24 2013 12:44:16 GMT+0200 (CEST)
19,C,52.220091173620204,6.894348247822934,97.49563823341626,16,null,187.3951873779297,0,Sat Aug 24 2013 12:44:35 GMT+0200 (CEST)
20,C,52.220101486882264,6.894360520099867,97.33220862054328,12,null,167.04519653320312,0,Sat Aug 24 2013 12:44:39 GMT+0200 (CEST)
