Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22083789732085,6.895004169025373,80,10,null,null,0,1377336800000
2,C,52.221117048304166,6.895990922736087,86,25,null,315.4766540527344,1.4542866945266724,1377337013000
3,D,52.2213752,6.8952964,null,30,null,null,null,1377337413633
4,B,52.2202137,6.8942243,null,33.426998138427734,null,null,null,1377337754068
5,Dienst Uitvoering Onderwijs,52.217232474272954,6.888124672626913,23,30,null,220.08824157714844,2.774519443511963,1377338583000
6,A,52.2202479788444,6.886824367872329,96,15,null,235.05517578125,0,1377339013000
7,D,52.22222,6.8900616,null,20,null,null,null,1377339417704
8,2000,52.23035888929519,6.892950505874534,84,15,null,316.263916015625,0.4014665186405182,1377340224000
9,B,52.22229035390082,6.894831324447568,59,20,null,296.3309631347656,0,1377340968000
10,C,52.2214951,6.8974126,null,30,null,null,null,1377341200132
