Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1, 50,52.2212378457694,6.895143065090598,96.55155411982328,12,null,null,0,1377336569001
2,D,52.22141781416851,6.895128672717762,96.67697859826426,8,null,342.25177001953125,0.5602371096611023,1377336674001
3,D,52.22203875921701,6.8904652266027675,85.97478352771682,8,null,203.06422424316406,0,1377337344001
4,2000,52.23110846047655,6.88896146729953,91.33429396346135,6,null,134.2240447998047,0,1377337920000
5,B,52.22193419327497,6.8965889920607415,89.74826797388258,6,null,288.38043212890625,0,1377339462000
6,B,52.22240444885083,6.895546308330509,90.82609305156845,6,null,134.30503845214844,1.3200173377990723,1377339661000
7,C,52.221169602264325,6.8988849808374395,86.9063520787905,6,null,113.1148681640625,0.5467613339424133,1377340069000
8,C,52.2202095926598,6.895444808686802,84.21508225732397,8,null,184.42906188964844,0,1377340617000
9,1, 00,52.21979658994873,6.896103108722965,86.96582275888277,12,null,302.13665771484375,1.1781527996063232,1377340854000
10,blauw,52.21924416044032,6.896552360304605,92.10469085406385,8,null,335.47320556640625,1.3408743143081665,1377340961000
11,C,52.22009356329847,6.89871369518909,97.98231838085732,8,null,305.0811462402344,1.1105475425720215,1377341604000
12,A,52.220148760558274,6.89868124320802,89.18097576015,8,null,264.7248840332031,0.8299448490142822,1377341711000
13,...,52.220148760558274,6.89868124320802,89.18097576015,8,null,264.7248840332031,0.8299448490142822,1377341711000
14,A,52.220168697068054,6.8985453283765485,88.47098975417832,8,null,170.78680419921875,0.5398715138435364,1377341863000
15,C,52.22018594648163,6.898664942167962,87.67328079641449,12,null,81.67394256591797,1.344624638557434,1377341902000
16,B,52.22015914203856,6.898729349884686,87.15931919734614,8,null,299.9054260253906,0,1377341949000
17,dienst uitvoering onderwijs,52.22015914203856,6.898729349884686,87.15931919734614,8,null,299.9054260253906,0,1377341949000
18,C,52.22015914203856,6.898729349884686,87.15931919734614,8,null,299.9054260253906,0,1377341949000
19,C,52.22015914203856,6.898729349884686,87.15931919734614,8,null,299.9054260253906,0,1377341949000
20,D,52.22015914203856,6.898729349884686,87.15931919734614,8,null,299.9054260253906,0,1377341949000
