Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1,50,52.22139045596123,6.895240293815732,90.20000000000005,10,null,28.780000686645508,1.3125,1377336577000
2,D,52.221283041872084,6.895152451470494,91.60000000000002,5,null,160.92999267578125,0.5,1377336643000
3,D,52.22196763381362,6.890725214034319,64.70000000000005,5,null,353.44000244140625,1,1377337247000
4,2000,52.230997709557414,6.888856720179319,63.200000000000045,5,null,301.3999938964844,0.0625,1377337905000
5,B,52.22200681921095,6.896564718335867,87.39999999999998,5,null,322.9700012207031,0.375,1377339487000
6,B,52.222466566599905,6.8954171519726515,86.20000000000005,5,null,63.06999969482422,0.6875,1377339667000
7,C,52.21969856880605,6.898796400055289,88.20000000000005,5,null,5.210000038146973,1.6875,1377339933000
8,C,52.21969856880605,6.898796400055289,88.20000000000005,5,null,5.210000038146973,1.6875,1377339933000
9,1,00,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
10,blauw,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
11,C,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
12,A,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
13,...,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
14,A,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
15,C,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
16,B,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
17,dienst uitvoering onderwijs,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
18,C,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
19,B,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
20,C,52.220075419172645,6.895651845261455,76.89999999999998,15,null,175.14999389648438,1.125,1377340744000
