Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.2214524,6.8975319,null,30,null,null,null,1377338136231
2,C,52.22158204,6.89766321,71,103,null,null,null,1377338158533
3,B,52.22228725,6.89541743,97.19999694824219,6,null,null,6,1377337859000
4,B,52.22191954,6.89662614,100.69999694824219,3,null,8.199999809265137,6.1288251876831055,1377338034000
5,D,52.22190611,6.89525419,87.4000015258789,4,null,null,6,1377338290000
6,C,52.22190275,6.89524719,87.5999984741211,3,null,null,6,1377338445000
7,D,52.22142504,6.89516396,89,4,null,null,6,1377338607000
8,dienst uitvoering onderwijs,52.22142433,6.89516569,89.0999984741211,4,null,null,6,1377338670000
9,C,52.22141307,6.89514033,90.4000015258789,4,null,null,6,1377338728000
10,B,52.2202867,6.8941594,null,20,null,null,null,1377339634227
