Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22102075831838,6.895452811744274,93.60161562576559,6,null,null,0,1377336571000
2,C,52.22106283660369,6.898273824711799,90.65241420024793,16,null,51.53157043457031,0,1377336839999
3,B,52.22234397325038,6.895492798766248,94.35417574351149,6,null,138.0975341796875,0,1377337841999
4,B,52.22199501670613,6.896601898231739,89.7622378508118,8,null,344.4924011230469,0,1377338040999
5,D,52.22185197346942,6.895215033258008,93.3877429204793,4,null,35.01628875732422,0,1377338286999
6,D,52.221750122142936,6.89530219925701,97.59406996955151,8,null,null,0,1377338493000
7,D,52.22137152883429,6.895108855428141,89.52928525961978,6,null,301.7091979980469,0,1377338585999
8,Dienst Uitvoering Onderwijs,52.22141802577913,6.895228173076695,88.31117479709128,6,null,355.28131103515625,0,1377338679999
9,C,52.22141802577913,6.895228173076695,88.31117479709128,6,null,355.28131103515625,0,1377338679999
10,B,52.22008970910963,6.894276621057937,87.5311956709324,6,null,13.061602592468262,0.44431617856025696,1377339020999
11,1, 00,52.21981158155932,6.896225590155199,89.59961155154728,6,null,111.20963287353516,0,1377339579000
