Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2205157,6.895970800000001,null,757,null,null,null,Sat Aug 24 2013 11:33:01 GMT+0200 (CEST)
2,C,52.218475146219134,6.898022415116429,114.5,45,null,230,0.9382500052452087,Sat Aug 24 2013 11:45:29 GMT+0200 (CEST)
3,B,52.21900132019073,6.899960730224848,95.79998779296875,10,null,10,0.1251000016927719,Sat Aug 24 2013 11:51:02 GMT+0200 (CEST)
4,orange,52.21650238148868,6.902786940336227,121.20001220703125,5,null,359,0,Sat Aug 24 2013 12:05:59 GMT+0200 (CEST)
5,Martin meijers,52.217120504938066,6.899065542966127,136,5,null,302,0,Sat Aug 24 2013 12:20:04 GMT+0200 (CEST)
6,C,52.21782496199012,6.899467706680298,112.70001220703125,30,null,16,0,Sat Aug 24 2013 12:23:19 GMT+0200 (CEST)
7,C,52.21782496199012,6.899467706680298,112.70001220703125,30,null,16,0,Sat Aug 24 2013 12:23:19 GMT+0200 (CEST)
8,blue,52.2189991408959,6.896307645365596,100.70001220703125,25,null,350,0.8756999969482422,Sat Aug 24 2013 12:34:35 GMT+0200 (CEST)
9,A,52.219625101424754,6.8959354888647795,89.70001220703125,50,null,347,1.376099944114685,Sat Aug 24 2013 12:37:00 GMT+0200 (CEST)
10,1,00,52.22045101225376,6.89530324190855,102.9000244140625,5,null,195,0,Sat Aug 24 2013 12:42:24 GMT+0200 (CEST)
11,B,52.219955432228744,6.894323984161019,90.20001220703125,5,null,244,0,Sat Aug 24 2013 12:44:58 GMT+0200 (CEST)
12,C,52.219955432228744,6.894323984161019,90.20001220703125,5,null,244,0,Sat Aug 24 2013 12:44:58 GMT+0200 (CEST)
13,dienst uitvoering onderwijs,52.219955432228744,6.894323984161019,90.20001220703125,5,null,244,0,Sat Aug 24 2013 12:44:58 GMT+0200 (CEST)
14,D,52.22135877236724,6.895186146721244,80.5999755859375,25,null,351,0,Sat Aug 24 2013 12:55:17 GMT+0200 (CEST)
15,D,52.22135877236724,6.895186146721244,80.5999755859375,25,null,351,0,Sat Aug 24 2013 12:55:17 GMT+0200 (CEST)
16,D,52.22135877236724,6.895186146721244,80.5999755859375,25,null,351,0,Sat Aug 24 2013 12:55:17 GMT+0200 (CEST)
17,C,52.22135877236724,6.895186146721244,80.5999755859375,15,null,351,0,Sat Aug 24 2013 12:57:29 GMT+0200 (CEST)
18,B,52.22135877236724,6.895186146721244,80.5999755859375,15,null,351,0,Sat Aug 24 2013 12:57:29 GMT+0200 (CEST)
19,C,52.22135877236724,6.895186146721244,80.5999755859375,15,null,351,0,Sat Aug 24 2013 12:57:29 GMT+0200 (CEST)
20,D,52.22135877236724,6.895186146721244,80.5999755859375,15,null,351,0,Sat Aug 24 2013 12:57:29 GMT+0200 (CEST)
