Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2208585349245,6.894837717622592,98.57809723995372,32,null,null,0,1377336791288
2,C,52.21832109254382,6.898301886999238,88.77387823740182,4,null,251.697509765625,0,1377337553999
3,A,52.21959515643558,6.900196253365005,89.51527711776562,6,null,174.42601013183594,0,1377338113000
4,orange,52.21653441896473,6.902695461020377,103.41114043389898,8,null,94.7984619140625,0,1377338752000
5,martin meijer,52.21689021824994,6.899183450906545,102.38650137013346,6,null,359.74072265625,0,1377339381000
6,A,52.21748017913229,6.899348538589955,96.86993092936454,32,null,152.4436798095703,0,1377339836000
7,C,52.21790237929517,6.8995592997187165,104.59445424293394,32,null,290.82073974609375,0,1377339951000
8,blue,52.21854982300082,6.896492578872053,223.2150830678824,96,null,null,0,1377340534348
9,A,52.22045981958038,6.895297185337008,90.62944895792972,8,null,323.95880126953125,0,1377340704999
10,1, 00,52.219812126745104,6.896114448457769,92.89863672085166,8,null,329.2301025390625,0,1377340854999
11,B,52.219886861082855,6.894352751340595,91.29390554206493,6,null,334.4454345703125,0,1377341225999
12,C,52.219983941388904,6.894414871989856,91.17352090047744,8,null,205.46527099609375,0,1377341246999
13,Dienst uitvoerend onderwijs,52.21994939011153,6.894449598276901,86.99355680080576,8,null,229.49835205078125,0,1377341305999
14,D,52.22157082672083,6.895345197748715,89.72965000459341,4,null,90.41475677490234,0,1377341718999
15,D,52.22353641635934,6.895682944849963,139.2555896599901,128,null,null,0,1377341781502
16,D,52.22144483403614,6.895315072740111,105.27746872494862,8,null,null,0,1377341836999
17,C,52.22137979938325,6.895218960714074,94.57157266049609,6,null,null,0,1377341883999
18,B,52.221362807435405,6.89509298190065,92.03479236112769,6,null,null,0,1377341945999
19,C,52.22139795193755,6.895115017650376,91.19869835492072,6,null,null,0,1377341975999
20,D,52.22137021175788,6.895145898837232,90.73679757565891,6,null,null,0,1377341992999
