Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.2191872,6.8962696,null,27.233999252319336,null,null,null,1377340071321
52.22000604,6.89570818,96.0999984741211,53,null,null,0,1377340072046
52.22000106,6.89571352,96.0999984741211,52,null,null,0,1377340074038
52.21999891,6.89571664,96.0999984741211,51,null,null,0,1377340075040
52.2199939,6.89572277,96.19999694824219,50,null,null,0,1377340079031
52.2191918,6.8962896,null,26.933000564575195,null,null,null,1377340090346
52.21997882,6.8957478,96.0999984741211,51,null,null,0,1377340091037
52.21997211,6.89576299,96,50,null,null,0,1377340100008
52.21996738,6.89576631,96,49,null,null,0,1377340102049
52.21996465,6.8957729,96,48,null,null,0,1377340104044
52.21996235,6.89577591,96,47,null,null,0,1377340105025
52.21995941,6.89577995,96,46,null,null,0,1377340107042
52.21995917,6.89578176,96,45,null,null,0,1377340108032
52.21995752,6.89578377,96,44,null,null,0,1377340109021
52.21995509,6.89578746,96,43,null,null,0,1377340110014
52.2191811,6.8962948,null,27.95400047302246,null,null,null,1377340111522
52.21994974,6.8957926,96.0999984741211,41,null,null,0,1377340112026
