Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22066125,6.8965703,63.79999923706055,4,null,null,1,1377336554000
2,Martin Meijers,52.21698792,6.8992263,89.5,3,null,null,0,1377337610000
3,A,52.21947454,6.9003514,84.0999984741211,3,null,27.799999237060547,0.75,1377338060000
4,C,52.21903494,6.89879188,90.5,4,null,182.6999969482422,1.25,1377338326000
5,C,52.2211414,6.8980407,null,29.823999404907227,null,null,null,1377338629992
6,2000,52.2214925,6.8976247,null,30,null,null,null,1377338850007
7,B,52.22201285,6.89665353,96.5999984741211,3,null,13.5,0.75,1377339206000
8,B,52.22234004,6.89542979,95.69999694824219,4,null,null,0,1377339437000
9,1,50,52.22118964,6.89513111,75.19999694824219,6,null,170.5,0.5,1377339646000
10,blue,52.21926368,6.89635973,84.9000015258789,3,null,null,0,1377340028000
11,C,52.21812876,6.89661517,92.9000015258789,3,null,201.10000610351562,0.5,1377340286000
12,C,52.21781536,6.89666713,91.19999694824219,4,null,null,0,1377340352910
13,C,52.21778229,6.89665268,92.4000015258789,4,null,null,0,1377340408000
14,B,52.2169028,6.8978028,null,826,null,null,null,1377340546800
15,1,00,52.21777231,6.89680427,103.9000015258789,10,null,null,0,1377340574000
16,D,52.2167646,6.8962433,null,772,null,null,null,1377340702466
17,B,52.21774479,6.89679996,108.9000015258789,7,null,null,0,1377340720000
18,B,52.21774479,6.89679996,108.9000015258789,7,null,null,0,1377340720000
19,dienst uitvoering onderwijs,52.21778387,6.89696058,123.9000015258789,8,null,null,0,1377340757000
20,C,52.21778387,6.89696058,123.9000015258789,8,null,null,0,1377340757000
