Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2478252,6.8466031,null,61.659000396728516,null,null,null,1377429084380
2,Dienst Uitvoering Onderwijs,52.2478252,6.8466031,null,61.659000396728516,null,null,null,1377429084380
3,B,52.2478252,6.8466031,null,61.659000396728516,null,null,null,1377429084380
4,D,52.2478252,6.8466031,null,61.659000396728516,null,null,null,1377429084380
5,D,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
6,1,00,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
7,B,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
8,C,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
9,C,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
10,C,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
11,blauw,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
12,1,50,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
13,B,52.2478182,6.8466071,null,60.97200012207031,null,null,null,1377429119593
14,B,52.2477601,6.846617,null,55.69900131225586,null,null,null,1377429180237
15,2000,52.2477601,6.846617,null,55.69900131225586,null,null,null,1377429180237
16,C,52.2477601,6.846617,null,55.69900131225586,null,null,null,1377429180237
17,B,52.2477091,6.8466434,null,50.74800109863281,null,null,null,1377429200343
18,B,52.2477091,6.8466434,null,50.74800109863281,null,null,null,1377429200343
19,marko meijers,52.2477091,6.8466434,null,50.74800109863281,null,null,null,1377429200343
20,C,52.2477091,6.8466434,null,50.74800109863281,null,null,null,1377429200343
