Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22086705,6.89566998,86.0999984741211,6,null,121.9000015258789,1.25,1377336243677
2,A,52.21951716,6.90033336,88.4000015258789,3,null,37.400001525878906,0.5,1377336617328
3,oranje,52.216448,6.90261522,89,4,null,349,1.1180340051651,1377337224107
4,Martin Meijers,52.21666176,6.89927976,111.80000305175781,9,null,316,0.25,1377337683445
5,C,52.21700886,6.89921937,90,5,null,17.899999618530273,0.5,1377337806605
6,A,52.2183153,6.8974354,null,1010,null,null,null,1377338942146
7,blauw,52.21914918,6.89637452,81.0999984741211,4,null,null,0,1377339327059
8,C,52.21960647,6.89872,89,6,null,316.79998779296875,0.5,1377339626056
9,C,52.22117532,6.89885307,90.19999694824219,8,null,10.899999618530273,0.25,1377339791155
10,1,00,52.21983592,6.89611163,93,9,null,null,0,1377340378302
11,B,52.21997944,6.89427145,90.30000305175781,6,null,null,0,1377340702193
12,Dienst Uitvoering Onderwijs,52.21855881,6.88956458,97,11,null,null,0,1377341523992
