Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.21941003326667,6.897981162527894,111.47199606954062,6,null,null,0,1377336447504
2,A,52.21950294898438,6.9003217860532144,94.37196845516982,4,null,60.56370544433594,1.0810890197753906,1377336617000
3,Oranje,52.216415876467714,6.902573265765935,94.30596192656508,6,null,314.49261474609375,0,1377337234000
4,Martin Meijers,52.21664526563483,6.899091567476372,87.2516533425447,6,null,151.96641540527344,0,1377337647000
5,C,52.21701550168497,6.899259678009785,91.50456241352002,8,null,12.302653312683105,0,1377337839000
6,A,52.218185731604635,6.898251765359325,91.77890914626963,6,null,275.7099304199219,0,1377338807000
7,Blauw,52.21905303217852,6.896312531382402,86.68310473463333,6,null,27.194608688354492,0,1377339243000
8,C,52.21951772733297,6.898794847844254,85.15631534223056,6,null,6.870854377746582,0.6779689788818359,1377339621999
9,C,52.2212045288666,6.898799855969075,89.36129100880183,8,null,297.8238830566406,0,1377339799999
10,1,00,52.219845428015255,6.896219182352876,91.46776792714002,6,null,6.956600666046143,0,1377340384999
