Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22063668649749,6.8963922358811045,93.12741202721169,6,null,220.03631591796875,0.4885205328464508,1377337130999
2,D,52.22024611901821,6.887399240872605,82.88051925081538,6,null,287.3203125,0.8259889483451843,1377337672000
3,D,52.22204828416675,6.8905444050742135,86.0766007531208,4,null,141.704345703125,0.3936118185520172,1377338164000
4,2000,52.2302875846585,6.893014679888116,85.03901781816339,4,null,323.3720703125,0,1377338739999
5,B,52.221969973387324,6.896645873848226,84.28203258675349,6,null,341.8660888671875,0,1377339339999
6,B,52.222432114929305,6.895819411945489,92.52062268564153,6,null,132.6844940185547,0,1377339732000
7,D,52.22140593298268,6.8952023266576505,94.22426070586052,6,null,338.5679931640625,0,1377339881000
8,Dienst uitvoerening onderwijs ,52.21851974190367,6.8893687964425405,88.77243701470319,8,null,113.11824798583984,0,1377340476999
9,B,52.21996213629267,6.894235914485321,92.85031310451585,8,null,138.15769958496094,0,1377341053999
10,1,00,52.21976454528438,6.896143298258032,88.91180370108451,6,null,169.3216094970703,0,1377341442000
