Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22095378318754,6.894882948239406,91.13400658053624,8,null,null,0,1377336528000
2,B,52.22199746106786,6.896674714813834,90.79773295391449,8,null,329.64886474609375,0,1377338560000
3,2000,52.22199970436678,6.896593962422389,91.07072644744521,8,null,287.93341064453125,0.30148011445999146,1377338607000
4,D,52.22200799647471,6.896568575740719,89.4819018369949,6,null,160.6790008544922,0.37856635451316833,1377338641000
5,D,52.22198919763539,6.896655791485772,90.32105755904564,8,null,138.02029418945312,0,1377338694000
6,D,52.221502098809786,6.8952407190422225,93.73399803200621,6,null,182.13868713378906,1.0165181159973145,1377338848000
7,dienst uitvoering onderwijs,52.22138768898645,6.89525171885294,93.4623932872119,8,null,322.1827392578125,0,1377338906000
8,B,52.2213928686253,6.895252843741859,93.30600603137277,8,null,322.1827392578125,0,1377338911000
9,1,00,52.219832378199094,6.896193499390071,87.3621251094275,6,null,188.06590270996094,0,1377339155000
10,B,52.2199635445165,6.894309279489286,87.20850382344783,4,null,223.9761962890625,0,1377339527000
11,C,52.22005812670379,6.894297683052384,86.74540264403964,6,null,178.67471313476562,0,1377339621000
12,geel,52.2199962,6.8943222,null,31.65399932861328,null,null,null,1377339979165
13,C,52.21998531112355,6.894348977314866,93.7291574267155,6,null,null,0,1377339997999
14,A,52.22002291571748,6.894349451589666,85.7710718678027,8,null,null,0,1377340022999
15,A,52.2181434,6.8980078,null,39,null,null,null,1377340817590
16,D,52.2180937,6.8977007,null,39,null,null,null,1377340847394
