Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2209251,6.8953703,null,54.56399917602539,null,null,null,1377336219136
2,C,52.2208118,6.8952893,null,45.303001403808594,null,null,null,1377336242757
3,A,52.22120934860618,6.895221533049733,88.72012309196667,8,null,null,0,1377336334999
4,B,52.22007530067182,6.894300826911067,88.9569739033257,4,null,170.9096221923828,0,1377336694000
5,dienst uitvoering onderwijs,52.218481687943054,6.889448626122953,81.98534334430016,6,null,235.82395935058594,0,1377337197000
6,A,52.22027827282347,6.886358877863525,83.58619161465712,12,null,118.98113250732422,0,1377337613000
7,D,52.222038054822654,6.890395017701317,88.58788881125723,6,null,60.76968002319336,0,1377338120000
8,2000,52.22206941093824,6.890356625006352,88.49060915347569,4,null,60.76968002319336,0,1377338132000
9,B,52.22180810213144,6.896627355098572,88.77944345012986,6,null,203.06121826171875,0.6322990655899048,1377339458999
10,C,52.21919456801534,6.896917281713371,90.17732893980651,8,null,213.7376251220703,0,1377340661000
11,C,52.21919456801534,6.896917281713371,90.17732893980651,8,null,213.7376251220703,0,1377340661000
12,blauw,52.21919456801534,6.896917281713371,89.92908010991975,8,null,213.7376251220703,0,1377340681000
