Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2207974,6.8952964,null,58.069000244140625,null,null,null,1377336117436
2,C,52.22084,6.8953371,null,20.009000778198242,null,null,null,1377336153896
3,D,52.2212951,6.8952699,null,30,null,null,null,1377336387811
4,B,52.22006536088884,6.894173612818122,97,15,null,15,0.18765000998973846,1377336684000
5,dienst uitvoering onderwijs,52.21854815259576,6.889516543596983,91.70001220703125,5,null,336,0,1377337194000
6,D,52.220080322586,6.8865960370749235,101.5999755859375,5,null,86,0,1377337663000
7,D,52.22191784530878,6.889633387327194,98.70001220703125,5,null,89,1.0008000135421753,1377338010000
8,2000,52.22207123413682,6.890339646488428,89.5999755859375,5,null,1,0,1377338083000
9,B,52.221915582194924,6.896715508773923,102,10,null,19,1.0008000135421753,1377339411000
10,C,52.221449171192944,6.897380780428648,98.20001220703125,10,null,153,0.6880499720573425,1377339528000
11,C,52.218704307451844,6.898573357611895,103.5,5,null,123,0,1377340315000
12,blauw,52.21927959937602,6.897232420742512,91.5999755859375,5,null,253,1.0008000135421753,1377340599000
13,C,52.219230104237795,6.896863449364901,93.4000244140625,5,null,268,0.8131499886512756,1377340622000
14,C,52.218868592754006,6.89644418656826,95.29998779296875,15,null,157,0.8131499886512756,1377340815000
15,A,52.218800112605095,6.896373359486461,95.79998779296875,15,null,203,0.5629500150680542,1377340879000
16,blauw,52.218800112605095,6.896373359486461,95.79998779296875,15,null,203,0.5629500150680542,1377340879000
17,henk,52.21888032741845,6.896316781640053,103.4000244140625,15,null,352,0.5004000067710876,1377340958000
18,C,52.21888032741845,6.896316781640053,103.4000244140625,15,null,352,0.5004000067710876,1377340958000
19,1, 00,52.21984357573092,6.89621452242136,94.9000244140625,15,null,84,0.3127500116825104,1377341192000
20,1,50,52.221279395744205,6.8951671198010445,105.70001220703125,10,null,334,0.5629500150680542,1377341464000
