Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22057524,6.89637732,97.19999694824219,8,null,189.8000030517578,1.25,1377336757560
2,C,52.22002337,6.88655628,85.5999984741211,5,null,null,0,1377337315791
3,C,52.21877906,6.88788965,78.19999694824219,5,null,148.5,0.5,1377338015638
4,Dienst Uitvoering Onderwijs,52.21852234,6.8895077,78.5999984741211,9,null,null,0,1377338198628
5,B,52.21998633,6.89428062,91.19999694824219,5,null,null,0,1377338441729
6,C,52.2181374,6.89656286,102.5,5,null,null,0,1377338763646
7,C,52.21813699,6.8983798,98.30000305175781,9,null,null,0,1377339525918
8,martin meijers,52.21708401,6.89902332,110.0999984741211,8,null,null,0,1377340082415
9,A,52.21947714,6.90021556,94.69999694824219,10,null,350.20001220703125,2,1377340623228
10,B,52.21995654,6.90264619,88.19999694824219,25,null,242.10000610351562,4.5,1377340935983
11,blauw,52.2195609,6.89961776,90.69999694824219,11,null,274.29998779296875,2.5,1377341018021
