Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.21778267,6.89800865,97,65,null,199.3000030517578,1,1377339894399
52.21777173,6.89799174,97.80000305175781,60,null,195.1999969482422,1,1377339895409
52.21776195,6.89798348,97.9000015258789,55,null,190,1,1377339896180
52.21776652,6.89796583,99.30000305175781,51,null,190.6999969482422,0.75,1377339896987
52.21775071,6.89795938,99.0999984741211,47,null,194.5,1,1377339897993
52.2177337,6.89795882,99.5,44,null,188.1999969482422,1,1377339898993
52.21772009,6.897971,98.80000305175781,42,null,186.10000610351562,1,1377339899995
52.21770994,6.89798793,97.80000305175781,40,null,184.5,1,1377339900990
52.217626,6.89791974,98.9000015258789,38,null,191.39999389648438,1,1377339907010
52.21761806,6.89790601,99.0999984741211,34,null,195.6999969482422,1,1377339908008
52.21761166,6.89787298,101.9000015258789,30,null,191,0.75,1377339909007
52.21761494,6.89783484,101.9000015258789,27,null,201.6999969482422,0.75,1377339910020
52.21755888,6.89782453,102.5,22,null,193.89999389648438,1,1377339913038
52.21754466,6.89783095,103.0999984741211,21,null,189.89999389648438,1,1377339913902
52.21753694,6.89782245,102.80000305175781,20,null,195.1999969482422,1,1377339914899
