Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1,5,52.22107529640198,6.895294189453125,96,24,null,349.8046875,0,Sat Aug 24 2013 11:27:49 GMT+0200 (CEST)
2,D,52.22133278846741,6.89516544342041,94,4,null,297.7734375,0,Sat Aug 24 2013 11:37:23 GMT+0200 (CEST)
3,D,52.22208178333333,6.890254616666667,null,41,null,null,null,Sat Aug 24 2013 11:45:27 GMT+0200 (CEST)
4,2000,52.23018407821655,6.8931591510772705,91,24,null,332.9296875,0,Sat Aug 24 2013 12:06:18 GMT+0200 (CEST)
5,B,52.230354580000004,6.892865469999999,null,41,null,null,null,Sat Aug 24 2013 12:07:51 GMT+0200 (CEST)
6,B,52.22183167934418,6.895433664321899,92,12,null,300.234375,0,Sat Aug 24 2013 12:19:24 GMT+0200 (CEST)
7,C,52.22183167934418,6.89542829990387,92,16,null,300.234375,0,Sat Aug 24 2013 12:20:03 GMT+0200 (CEST)
8,C,52.2215954,6.8952461,null,80,null,null,null,Sat Aug 24 2013 12:25:29 GMT+0200 (CEST)
9,1,00,52.21926748752594,6.896361708641052,94,8,null,144.140625,0,Sat Aug 24 2013 12:35:39 GMT+0200 (CEST)
10,blauw,52.21926748752594,6.896361708641052,94,8,null,144.140625,0,Sat Aug 24 2013 12:35:39 GMT+0200 (CEST)
11,C,52.21926748752594,6.896361708641052,94,6,null,144.140625,0,Sat Aug 24 2013 12:36:26 GMT+0200 (CEST)
12,A,52.21915338,6.89636311,null,21,null,null,null,Sat Aug 24 2013 12:40:43 GMT+0200 (CEST)
13,martijn meijers,52.21699297428131,6.899017095565796,102,6,null,110.0390625,0,Sat Aug 24 2013 12:51:29 GMT+0200 (CEST)
14,A,52.21699297428131,6.899017095565796,102,6,null,110.0390625,0,Sat Aug 24 2013 12:51:29 GMT+0200 (CEST)
15,B,52.21699297428131,6.899017095565796,102,6,null,110.0390625,0,Sat Aug 24 2013 12:51:29 GMT+0200 (CEST)
16,B,52.21698224544525,6.899033188819885,96,4,null,110.0390625,0,Sat Aug 24 2013 12:53:44 GMT+0200 (CEST)
17,Dienst Uitvoering Onderwijs,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,Sat Aug 24 2013 12:54:05 GMT+0200 (CEST)
18,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,Sat Aug 24 2013 12:54:05 GMT+0200 (CEST)
19,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,Sat Aug 24 2013 12:54:05 GMT+0200 (CEST)
20,C,52.21698224544525,6.8990278244018555,96,6,null,110.0390625,0,Sat Aug 24 2013 12:54:05 GMT+0200 (CEST)
