Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819
2,C,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819
3,B,52.2209186,6.8954308,null,24.083999633789062,null,null,null,1377336083819
4,B,52.2229745,6.8958774,null,31.582000732421875,null,null,null,1377336262347
5,D,52.2221577,6.8967654,null,49.643001556396484,null,null,null,1377336322785
6,B,52.2209608,6.8954476,null,27.868999481201172,null,null,null,1377336527054
7,D,52.2212569,6.8952942,null,30,null,null,null,1377337185630
8,dienst uitvoering onderwijs,52.2212569,6.8952942,null,30,null,null,null,1377337185630
9,C,52.2212569,6.8952942,null,30,null,null,null,1377337185630
10,B,52.2208799,6.8941742,null,20,null,null,null,1377337324492
