Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22086612650936,6.89521037731455,130.45150705421366,8,null,null,0,1377336069726
2,C,52.22086612650936,6.89521037731455,126.89469150386431,6,null,null,0,1377336077999
3,B,52.22086612650936,6.89521037731455,126.89469150386431,6,null,null,0,1377336077999
4,B,52.2219947142187,6.896645234031946,99.07968387694514,8,null,187.16128540039062,2.381392240524292,1377336325999
5,D,52.22199221181833,6.8967029906204305,99.01086058959966,4,null,351.76397705078125,0.4547768533229828,1377336338999
6,D,52.22031145453094,6.888084292590933,80.39467730987607,6,null,250.97276306152344,4.29118013381958,1377336731000
7,D,52.221378372866646,6.895224371166924,92.66861837412105,4,null,68.65325927734375,0,1377337168000
8,dienstuitvoerendonderwijs,52.22144998526855,6.895192641500543,93.69754200371793,4,null,42.02789306640625,0,1377337211000
9,C,52.22144998526855,6.895192641500543,93.69754200371793,4,null,42.02789306640625,0,1377337211000
10,B,52.22011405307778,6.894281265663749,91.67287437392612,6,null,166.0739288330078,0,1377337354000
11,1, 00,52.21980476753457,6.8962314703566765,89.94444255564218,4,null,2.4671311378479004,0,1377337548000
12,A,52.22056963375806,6.895697519840639,91.5622195113171,4,null,85.87631225585938,0,1377337662000
