Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22084326,6.89532274,95.5999984741211,4,null,null,0,1377335932000
2,D,52.22084425,6.89532109,97.9000015258789,3,null,null,0,1377336023000
3,B,52.22085273,6.89532298,96.9000015258789,3,null,null,0,1377336085000
4,B,52.22194547,6.8966135,110,3,null,176.39999389648438,1.75,1377336327000
5,D,52.22193376,6.89666026,108.5,3,null,null,0,1377336373000
6,C,52.22017383,6.88666576,86.4000015258789,3,null,null,0,1377336750000
7,D,52.22129768,6.89516823,95.0999984741211,4,null,null,0,1377337167000
8,dienst uitvoerend onderwijs,52.22135729,6.89528653,93.30000305175781,3,null,null,0,1377337209000
9,C,52.22135723,6.89528778,93.19999694824219,3,null,null,0,1377337229000
10,B,52.22014719,6.89415451,89.30000305175781,4,null,null,0,1377337360000
11,1,00,52.21977542,6.89629471,93.0999984741211,4,null,61.79999923706055,0.25,1377337557000
12,A,52.2205335,6.89573245,89.69999694824219,3,null,null,0,1377337660000
13,blauw,52.21923824,6.89617812,86.69999694824219,3,null,null,0,1377337772000
14,C,52.21923767,6.8962021,88.69999694824219,3,null,null,0,1377337805000
15,C,52.21912239,6.89617277,88.30000305175781,3,null,null,0,1377337842000
16,mark,52.21705501,6.89902868,102.4000015258789,4,null,null,0,1377338592000
17,wit,52.2170669,6.89902472,102.19999694824219,4,null,null,0,1377338966000
18,A,52.21706675,6.89902435,101.69999694824219,4,null,null,0,1377339008000
19,C,52.21704361,6.89903275,99.0999984741211,3,null,null,0,1377339058000
20,C,52.21704428,6.89903216,99.19999694824219,4,null,null,0,1377339075000
