Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.220786555607845,6.895071453895024,108.00667299054396,32,null,null,0,1377337086144
2,C,52.21891587017758,6.898767187860632,98.52296313560271,6,null,192.47500610351562,1.0881474018096924,1377337607999
3,A,52.21949349239281,6.900395063245062,84.19847405936612,6,null,76.11894226074219,1.824812412261963,1377337963999
4,oranje,52.21647978989641,6.902594965275228,95.72443979410066,6,null,133.23287963867188,0,1377338313999
5,M. Meijers,52.217034327052914,6.89924615662519,102.95006503234497,8,null,318.1131896972656,0,1377338528000
6,C,52.217041793345956,6.89948428577876,102.92764849250446,6,null,110.36949157714844,0,1377338664000
7,C,52.217046120958734,6.899490667344567,102.89560017596757,6,null,42.52833938598633,0,1377338777000
8,blauw,52.21917164143755,6.896205844001685,98.71864465369133,6,null,37.82306671142578,0,1377339396000
9,A,52.220801591530915,6.895533457652974,90.01687287401248,4,null,119.55921936035156,0,1377339517000
10,1,00,52.21965377891115,6.896240205072466,89.06259048692422,6,null,189.39389038085938,0,1377339689000
11,B,52.21997732464536,6.894279472306036,91.9303167097088,6,null,215.84657287597656,0.3293738067150116,1377339933000
12,C,52.219954117187285,6.894267871910096,93.02500309189053,6,null,335.2066650390625,0,1377340081999
13,dienst uitvoering onderwijs,52.21994452508022,6.894319117358745,93.00038346080979,6,null,335.2066650390625,0,1377340124999
14,D,52.21996301545975,6.894272018786467,92.36202244767466,6,null,321.8739013671875,0,1377340194999
