Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.220794677734375,6.8955302238464355,75,2.0808651447296143,null,0,0.3051804304122925,1377336240000
2,D,52.22091293334961,6.895444393157959,79,1.6401219367980957,null,315.2142333984375,0.7445715069770813,1377336318000
3,1,00,52.21975326538086,6.89617395401001,91,2.193171262741089,null,0,0,1377336577000
4,blauw,52.21918487548828,6.896367073059082,102,1.4866068363189697,null,0,0,1377336750000
5,C,52.218177795410156,6.896560192108154,92,2.0615530014038086,null,0,0,1377336987000
6,C,52.217567443847656,6.897783279418945,92,2.5495097637176514,null,0,0,1377337296000
7,A,52.217567443847656,6.897761821746826,92,1.5620499849319458,null,0,0,1377337362000
8,martin meijers,52.216922760009766,6.899392604827881,133,36.62308120727539,null,0,0,1377337634000
9,oranje,52.21663284301758,6.90265417098999,114,18.436105728149414,null,0,0,1377337951000
10,C,52.216590881347656,6.902632713317871,107,2.102379560470581,null,0,0,1377338169000
11,B,52.219871520996094,6.894371509552002,102,2.6076810359954834,null,286.80908203125,0.4296979606151581,1377339110000
12,dienst uitvoering onderwijs,52.21998977661133,6.894242763519287,94,2.5612497329711914,null,0,0,1377339146000
13,D,52.219970703125,6.894264221191406,91,2.780287742614746,null,37.9412841796875,0.32655733823776245,1377339202000
14,D,52.2199592590332,6.894285678863525,91,1.720465064048767,null,0,0,1377339222000
15,2000,52.2199592590332,6.894285678863525,91,1.720465064048767,null,0,0,1377339222000
16,C,52.2199592590332,6.894285678863525,91,1.6401219367980957,null,0,0,1377339245000
17,B,52.2199592590332,6.894285678863525,91,2.220360517501831,null,0,0,1377339258000
18,D,52.2199592590332,6.894285678863525,91,2.220360517501831,null,0,0,1377339258000
19,1,20,52.2199592590332,6.894285678863525,92,1.9416488409042358,null,0,0,1377339294000
20,C,52.2199592590332,6.894285678863525,92,1.6401219367980957,null,0,0,1377339305000
