Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.220959,6.89540215,86.5,15,null,null,0,1377336076000
2,1,50,52.22127469,6.89516623,86.30000305175781,10,null,null,0,1377336422000
3,D,52.22131505,6.8951255,86.5,5,null,null,0,1377336476000
4,B,52.22221656,6.89538313,92.69999694824219,4,null,26.299999237060547,0.5,1377336629000
5,B,52.2220212,6.89656973,85.9000015258789,6,null,188.10000610351562,0.25,1377336779000
6,2000,52.22202087,6.89664575,85.80000305175781,4,null,null,0,1377336803000
7,D,52.22201817,6.89665378,86,5,null,null,0,1377336883000
8,D,52.22201868,6.89665359,86,5,null,null,0,1377337016000
9,dienst uitvoerend onderwijs,52.22201954,6.89665349,86,4,null,null,0,1377337037000
10,B,52.22018412,6.89423768,85.80000305175781,8,null,null,0,1377337454000
11,C,52.22017981,6.89423938,85.5,12,null,null,0,1377337469000
12,blauw,52.22018167,6.89424214,85.5,8,null,null,0,1377337491000
13,martin meijers,52.21667817,6.8992084,78.80000305175781,24,null,157.1999969482422,1,1377338230000
14,A,52.21696171,6.89907233,87.30000305175781,5,null,null,0,1377338274000
15,C,52.21701434,6.89904581,85.19999694824219,6,null,null,0,1377338571000
16,C,52.21699608,6.89906615,84.5999984741211,7,null,null,0,1377338604000
17,groen,52.21698346,6.89905461,89.69999694824219,5,null,null,0,1377338674000
18,1,52.2196929,6.89624047,95.5999984741211,4,null,null,0,1377339295000
19,D,52.21969415,6.89623888,95.5999984741211,4,null,null,0,1377339303000
