Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22086226000001,6.8956661100000005,null,24,null,null,null,Sat Aug 24 2013 11:23:58 GMT+0200 (CEST)
2,1,50,52.220890499999996,6.895457010000001,null,20,null,null,null,Sat Aug 24 2013 11:26:30 GMT+0200 (CEST)
3,D,52.220890499999996,6.895457010000001,null,20,null,null,null,Sat Aug 24 2013 11:26:30 GMT+0200 (CEST)
4,B,52.220890499999996,6.895457010000001,null,20,null,null,null,Sat Aug 24 2013 11:26:30 GMT+0200 (CEST)
5,B,52.22198466,6.89661014,100,8,null,null,0,Sat Aug 24 2013 11:32:51 GMT+0200 (CEST)
6,2000,52.22198466,6.89661014,100,8,null,null,0,Sat Aug 24 2013 11:32:51 GMT+0200 (CEST)
7,D,52.22197696,6.89668903,99.9000015258789,8,null,null,0,Sat Aug 24 2013 11:34:43 GMT+0200 (CEST)
8,B,52.2220219,6.89677496,104.5999984741211,5,null,null,0,Sat Aug 24 2013 11:36:38 GMT+0200 (CEST)
9,dienst uitvoerend onderwijs,52.2220212,6.89677439,104.5999984741211,4,null,null,0,Sat Aug 24 2013 11:36:55 GMT+0200 (CEST)
10,B,52.22018073,6.89423313,92.0999984741211,6,null,null,0,Sat Aug 24 2013 11:44:11 GMT+0200 (CEST)
11,C,52.22018087,6.89423365,91.9000015258789,7,null,null,0,Sat Aug 24 2013 11:44:36 GMT+0200 (CEST)
12,wit,52.22018087,6.89423365,91.9000015258789,7,null,null,0,Sat Aug 24 2013 11:44:36 GMT+0200 (CEST)
13,martin meijers,52.21690513,6.89915248,99.5,6,null,null,0,Sat Aug 24 2013 11:56:49 GMT+0200 (CEST)
14,A,52.21701672,6.89921696,105.30000305175781,19,null,null,0,Sat Aug 24 2013 11:58:09 GMT+0200 (CEST)
15,C,52.2169828,6.89909571,99.9000015258789,7,null,null,0,Sat Aug 24 2013 12:01:35 GMT+0200 (CEST)
16,C,52.2169828,6.89909571,99.9000015258789,7,null,null,0,Sat Aug 24 2013 12:01:35 GMT+0200 (CEST)
17,blauw,52.2171757,6.89909821,103.80000305175781,6,null,354.70001220703125,2.915475845336914,Sat Aug 24 2013 12:05:09 GMT+0200 (CEST)
