Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22095459699631,6.895284214988351,106.0999755859375,5,null,0,0,1377337592000
2,B,52.22094596363604,6.895327633246779,96.5,5,null,347,0.5004000067710876,1377337764000
3,C,52.218135301955044,6.896671671420336,97,5,null,311,0.8131499886512756,1377338279000
4,C,52.218813858926296,6.898747952654958,97.4000244140625,10,null,337,0.5004000067710876,1377338610000
5,A,52.21880124416202,6.898717526346445,118,10,null,332,0,1377338921000
6,Rood,52.21834895666689,6.891884850338101,93.5,15,null,309,0,1377339722000
7,Jan Janssen,52.218336928635836,6.891687037423253,95.5,10,null,319,0.18765000998973846,1377339730000
8,C,52.218336928635836,6.891687037423253,95.5,10,null,319,0.18765000998973846,1377339730000
9,B,52.21834547817707,6.891660299152136,96.70001220703125,5,null,337,0,1377339782000
10,C,52.21834547817707,6.891660299152136,96.70001220703125,5,null,337,0,1377339782000
11,Dienst Uitvoeren Onderwijs,52.218333492055535,6.891479501500726,112.5,10,null,282,0,1377339844000
12,D,52.21832527779043,6.891231564804912,137.29998779296875,5,null,335,0,1377339925000
13,A,52.21832527779043,6.891231564804912,137.29998779296875,5,null,335,0,1377339925000
14,2000,52.21830105409026,6.891144057735801,150.79998779296875,5,null,304,0,1377340027000
15,A,52.218280392698944,6.891177836805582,151.4000244140625,5,null,310,0,1377340112000
16,C,52.218280392698944,6.891177836805582,151.4000244140625,5,null,310,0,1377340112000
17,1,00,52.21961776725948,6.896247463300824,92.29998779296875,25,null,111,1.376099944114685,1377340865000
