Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.2223871,6.8940498,null,1051,null,null,null,1377338004271
2,1, 50,52.22114529366232,6.895091762703672,89.49553724675185,16,null,null,0,1377338396999
3,C,52.22146067388751,6.89758026227684,96.23640014499165,24,null,343.40386962890625,0,1377338608999
4,D,52.221376455379215,6.895159502167142,91.43521989912679,8,null,314.3381042480469,0,1377338923999
5,C,52.221915952466595,6.895548225906272,96.76216813393847,8,null,108.62954711914062,0,1377339258000
6,D,52.22191134150455,6.895548137852441,96.77279113224124,6,null,108.62954711914062,0,1377339261000
7,2001,52.22191889367941,6.895505914086048,96.72487058948205,6,null,108.62954711914062,0,1377339272000
8,B,52.22191067348423,6.89538363973981,96.8934832302891,6,null,288.370849609375,0.7898383736610413,1377339310000
9,dient uitvoerend onderwijs,52.2216705575678,6.895186765077687,96.15485650593061,6,null,197.925537109375,0.7721495628356934,1377339347000
10,D,52.2215161625225,6.895247132661079,95.71569760005772,4,null,183.2068328857422,0.8127447962760925,1377339364000
11,1, 95,52.22136678204246,6.895224642198554,96.05383075636246,6,null,198.55123901367188,0.5627422332763672,1377339379000
12,C,52.22127181271229,6.895235066713342,94.77945967248799,12,null,142.94549560546875,1.1767081022262573,1377339389000
13,B,52.221137018762235,6.89521344151568,91.8584139129876,8,null,174.480224609375,0.895557165145874,1377339402000
14,C,52.221103725006266,6.895246563406578,88.97971177929728,6,null,171.67486572265625,0.9666612148284912,1377339412000
15,roze,52.22087951181427,6.895114521712847,88.67874763148384,4,null,190.494384765625,0.8810068368911743,1377339433000
16,B,52.22078389905017,6.895014085084527,89.76723379194848,6,null,292.17303466796875,0,1377339455000
17,Albert,52.22076148860229,6.894998014623057,89.7034400613885,6,null,292.17303466796875,0,1377339468000
18,blauw,52.220742013824626,6.895003886058316,89.75011938789888,16,null,292.17303466796875,0,1377339476000
19,B,52.220738513297796,6.894987770219195,89.63817258296139,8,null,292.17303466796875,0,1377339487000
20,D,52.220767317318916,6.894930027278981,89.37368265342592,6,null,292.17303466796875,0,1377339502000
