Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.2204006,6.8970613,null,787,null,null,null,1377338148240
2,1, 50,52.2204006,6.8970613,null,787,null,null,null,1377338148240
3,C,52.2204006,6.8970613,null,787,null,null,null,1377338148240
4,D,52.2222148,6.8965351,null,775,null,null,null,1377338671285
5,D,52.2222148,6.8965351,null,775,null,null,null,1377338671285
6,D,52.2222148,6.8965351,null,775,null,null,null,1377338671285
7,2002,52.2222148,6.8965351,null,775,null,null,null,1377338671285
8,D,52.2204006,6.8970613,null,787,null,null,null,1377339290364
9,dienst uitvoerend onderwijs,52.2216734,6.8942291,null,781,null,null,null,1377339330416
10,B,52.2216734,6.8942291,null,781,null,null,null,1377339330416
11,2, 00,52.2216734,6.8942291,null,781,null,null,null,1377339330416
12,C,52.2216734,6.8942291,null,781,null,null,null,1377339330416
13,C,52.2216734,6.8942291,null,781,null,null,null,1377339330416
14,C,52.2216734,6.8942291,null,781,null,null,null,1377339330416
15,groen,52.2216734,6.8942291,null,781,null,null,null,1377339330416
16,B,52.2216734,6.8942291,null,781,null,null,null,1377339330416
17,heijn,52.2216734,6.8942291,null,781,null,null,null,1377339330416
18,zwart,52.2216734,6.8942291,null,781,null,null,null,1377339330416
19,A,52.2216734,6.8942291,null,781,null,null,null,1377339330416
20,D,52.2216734,6.8942291,null,781,null,null,null,1377339330416
