Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2209939,6.89512232,96.19999694824219,14,null,null,0,1377335823117
2,martin meiyer,52.21697791,6.89913104,88.69999694824219,3,null,null,0,1377336484000
3,A,52.21949384,6.90033255,90.4000015258789,3,null,8.699999809265137,0.75,1377337882000
4,C,52.21940849,6.89885148,86.4000015258789,3,null,null,0,1377338058000
5,C,52.22100394,6.89813659,94,4,null,330.70001220703125,0.25,1377338325000
6,2000,52.22189195,6.89563275,88.19999694824219,5,null,272.20001220703125,0.75,1377338637000
7,B,52.22206812,6.89668236,99,3,null,144.10000610351562,0.75,1377338819000
8,B,52.22258304,6.89582273,103.0999984741211,3,null,null,0,1377339117000
9,1,50,52.22137714,6.89519743,100.5999984741211,10,null,180.10000610351562,0.25,1377339385000
10,blauw,52.21983508,6.89577211,88.19999694824219,3,null,null,0,1377339570000
11,C,52.21847485,6.89648999,103.69999694824219,3,null,null,0,1377339906000
12,C,52.21817615,6.89567218,87.30000305175781,3,null,null,0,1377340089000
13,C,52.21836968,6.89466498,85.5,3,null,null,0,1377340293000
14,B,52.22006699,6.89420732,83.80000305175781,3,null,null,0,1377340705000
15,1,00,52.21982086,6.89613578,99,3,null,null,0,1377340925000
16,D,52.22136271,6.89539664,84.30000305175781,3,null,null,0,1377341515000
17,D,52.22131686,6.89539642,84.9000015258789,3,null,null,0,1377341546000
18,B,52.22131686,6.89539642,84.9000015258789,3,null,null,0,1377341546000
19,Dienst Uitvoering Onderwijs,52.22131686,6.89539642,84.9000015258789,3,null,null,0,1377341546000
20,C,52.22131686,6.89539642,84.9000015258789,3,null,null,0,1377341546000
