Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.2183426,6.8965017,null,22.861000061035156,null,null,null,1377336342655
2,C,52.2183426,6.8965017,null,22.861000061035156,null,null,null,1377336342655
3,C,52.2181934,6.8967162,null,30,null,null,null,1377336362745
4,A,52.2181934,6.8967162,null,30,null,null,null,1377336362745
5,A,52.2179154,6.8972497,null,35.18199920654297,null,null,null,1377336386224
6,martin meijers,52.21666184719652,6.899304259568453,127.0999755859375,20,null,60,0,1377336881000
7,geel,52.21660526935011,6.902685854583979,107.79998779296875,35,null,135,0,1377337415000
8,C,52.21653921995312,6.894306130707264,105.4000244140625,15,null,271,0,1377337955000
9,B,52.22000463400036,6.894280565902591,94.4000244140625,10,null,55,0.37530001997947693,1377338408000
10,dienst uitvoering onderwijs,52.21855028998107,6.8895060662180185,90.29998779296875,50,null,61,0,1377338883000
11,1,52.21975200343877,6.8962043803185225,78.0999755859375,10,null,167,0,1377339390000
12,blauw,52.21933483611792,6.896378640085459,73.5999755859375,15,null,166,0,1377339532000
13,C,52.2180147,6.8976074,null,36,null,null,null,1377339908640
14,C,52.2214915,6.8974688,null,30,null,null,null,1377340345720
15,B,52.22250596154481,6.8957767356187105,104.9000244140625,15,null,218,0,1377340651000
