Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2219024,6.8944269,null,948,null,null,null,1377336731005
2,D,52.22168216021797,6.894034909787552,91.46753703187673,4,null,232.44088745117188,0,1377337012000
3,D,52.221683631886876,6.8940411221388125,92.09349298795699,4,null,203.2725067138672,0.3155690133571625,1377337088000
4,2000,52.22168757229397,6.894020928460265,91.8042157142492,4,null,345.1131896972656,0,1377337136000
5,B,52.22182175270284,6.896623885205945,92.61969403149183,8,null,40.19783401489258,0.6730229258537292,1377337340999
6,B,52.22195409296878,6.896606190745488,91.68226406873774,6,null,4.119620323181152,0.811069130897522,1377337406999
7,D,52.22185603267486,6.894464129624092,92.31995009391389,6,null,121.78461456298828,0.3096180260181427,1377337639999
8,dient uitvoering onderwijs,52.22156093787413,6.893809982475101,90.0499536661463,6,null,226.28781127929688,0.9305356740951538,1377337711999
9,B,52.220057002714555,6.894331222292018,96.15669864292259,4,null,355.7491760253906,0.5549853444099426,1377338090999
10,1,00,52.220869601569035,6.895254313653876,92.24279322434445,4,null,332.9805603027344,0,1377338539999
11,C,52.221353171248644,6.897776528565692,88.86252532319348,16,null,113.66322326660156,1.2517386674880981,1377338974999
12,C,52.22065859815563,6.897570088047165,80.92421694415005,6,null,103.24100494384766,0,1377339267999
13,goud,52.220588543483096,6.897508049126756,81.61261090002284,6,null,24.35154914855957,0,1377339308999
