Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.22002379,6.89586905,98.4000015258789,23,null,199.6999969482422,1.1180340051651,1377336734507
2,Martin Meijers,52.21669241,6.90264883,105,39,null,null,0,1377337939117
3,oranje,52.21671335,6.90265465,107.5999984741211,21,null,null,0,1377337946109
4,A,52.21941296,6.90038416,95.5,30,null,null,0,1377338465734
5,A,52.21844963,6.90002186,102.80000305175781,78,null,null,0,1377338734005
6,C,52.21837368,6.89853836,94.5,10,null,248.39999389648438,1.346291184425354,1377338813983
7,C,52.21756715,6.89376951,115.69999694824219,9,null,null,0,1377339312797
8,blauw,52.21916444,6.89640093,99.4000015258789,14,null,null,0,1377339738805
9,C,52.21942359,6.89889824,93.19999694824219,28,null,30.899999618530273,0.25,1377340168355
10,C,52.22099192,6.89812384,97.5999984741211,12,null,312.6000061035156,1.1180340051651,1377340383760
11,1,00,52.21975554,6.89606545,99.5999984741211,110,null,null,0,1377341259006
12,B,52.22011868,6.89438048,98,9,null,null,0,1377341603011
13,dienst uitvoering onderwijs,52.22012044,6.89438263,97.9000015258789,56,null,null,0,1377341680011
14,D,52.22011994,6.89438534,98,15,null,null,0,1377341698011
15,B,52.22011994,6.89438534,98,15,null,null,0,1377341698011
16,D,52.22011994,6.89438534,98,15,null,null,0,1377341698011
17,2000,52.22011994,6.89438534,98,15,null,null,0,1377341698011
18,A,52.22011994,6.89438534,98,15,null,null,0,1377341698011
19,C,52.22011975,6.89438467,98.0999984741211,47,null,null,0,1377341828024
20,C,52.22011975,6.89438467,98.0999984741211,47,null,null,0,1377341828024
