Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,A,52.220893413838255,6.89557681269958,92.78936739090258,12,null,null,0,1377336600000
2,Martin mijers,52.21682871278818,6.899075003409223,108.16835633558325,12,null,210.85862731933594,0,1377337544000
3,oranje,52.2164642694361,6.90258099468641,96.40634684242956,16,null,114.65699005126953,0,1377337884000
4,A,52.219487199435626,6.900278697725759,87.73496905105455,4,null,15.964322090148926,1.0265458822250366,1377338403000
5,A,52.218352213230226,6.899902329929142,89.7569420644096,6,null,155.54771423339844,0,1377338672000
6,C,52.21835712501948,6.898553628354833,89.0985456136659,8,null,264.1185302734375,0,1377338815000
7,C,52.217493872595824,6.893947549062389,92.4659064806939,12,null,230.143310546875,0,1377339304999
8,blauw,52.219075418690146,6.896378128228323,79.91480833537616,12,null,74.19699096679688,0.880652129650116,1377339708999
9,C,52.2195397597277,6.898813587025371,87.54771563736905,8,null,10.034086227416992,0,1377340160000
10,C,52.22098336925649,6.898110959599881,85.44168261525165,16,null,276.376953125,0,1377340398999
11,1, 00,52.2197729309492,6.896018919949191,97.33091099526635,8,null,147.325927734375,0.5984089970588684,1377341246999
12,B,52.22008633086588,6.8945950851358075,96.85302701329415,8,null,126.11253356933594,0.9770264029502869,1377341589999
13,dienst uitvoering onderwijs,52.22011767030731,6.894519908416398,100.07781218013417,6,null,168.2263641357422,0,1377341647999
14,D,52.220086458241695,6.894472003831249,100.1880312810166,8,null,143.66738891601562,0,1377341691999
15,B,52.220086458240445,6.894472003827253,100.47972415586877,6,null,143.66738891601562,0,1377341727999
16,B,52.220086458240445,6.894472003827253,100.52802828358993,4,null,143.66738891601562,0,1377341732999
17,2000,52.220086458240445,6.894472003827253,100.52802828358993,4,null,143.66738891601562,0,1377341732999
18,D,52.220086458240445,6.894472003827253,100.52802828358993,4,null,143.66738891601562,0,1377341732999
19,D,52.22008298033744,6.894634205945124,101.41944124775524,8,null,143.66738891601562,0,1377341804999
20,C,52.22015971296728,6.894600284945752,103.80698015277207,12,null,111.34622192382812,0,1377341840999
