Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.2197094,6.8959615,null,880,null,null,null,1377335982511
2,B,52.2222302,6.8935351,null,757,null,null,null,1377336072521
3,2000,52.2289369,6.8953171,null,933,null,null,null,1377336315794
4,A,52.2192913,6.8876471,null,840,null,null,null,1377336835112
5,D,52.22197794355452,6.889110608026385,87.70001220703125,25,null,53,1.8765000104904175,1377336994000
6,D,52.2214971575886,6.895202491432428,100.5,10,null,184,2.502000093460083,1377337643000
7,dienst uitvoering onderwijs,52.218734649941325,6.889480417594314,90.5999755859375,10,null,344,0,1377337941000
8,A,52.22107676323503,6.895527457818389,82.79998779296875,10,null,357,0,1377338265000
9,1,00,52.21965309698135,6.896170685067773,99.20001220703125,15,null,162,1.688849925994873,1377338387000
10,B,52.2199101280421,6.894369665533304,92.70001220703125,5,null,171,0,1377338518000
11,C,52.216038359329104,6.890678443014622,98.5,10,null,104,2.689650058746338,1377338853000
12,blauw,52.2167522,6.8966831,null,858,null,null,null,1377339229296
