Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22103545,6.89547417,68.5999984741211,10,null,null,0,1377335876860
2,B,52.22192648,6.896777,98,8,null,49.79999923706055,1,1377336070674
3,2000,52.23033899,6.89293845,85.30000305175781,5,null,213.8000030517578,2.75,1377336416394
4,D,52.22033449,6.88702209,96.5,5,null,null,0,1377336867827
5,D,52.22197997,6.88899931,84.5,6,null,51.70000076293945,1.346291184425354,1377336999827
6,D,52.22146708,6.89524386,88.5999984741211,5,null,null,0,1377337671007
7,dienst uitvoerend onderwijs,52.21865257,6.88952514,87.5999984741211,5,null,321.1000061035156,0.75,1377337972608
8,A,52.22083744,6.89548328,88.5,7,null,121.5,1,1377338229566
9,1,00,52.21978047,6.89599573,98.0999984741211,6,null,158.1999969482422,0.5,1377338383019
10,B,52.22007418,6.89444164,85.19999694824219,5,null,null,0,1377338548591
11,C,52.21616304,6.89074159,94.69999694824219,5,null,73.4000015258789,2.0615527629852295,1377338860568
