Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
52.22167514,6.88676803,87.5,32,null,0,0,Sat Aug 24 2013 12:48:09 GMT+0200 (CEST)
52.2216785,6.88676728,87.9,32,null,0,0,Sat Aug 24 2013 12:48:10 GMT+0200 (CEST)
52.22168079,6.88676697,88.2,32,null,0,0,Sat Aug 24 2013 12:48:11 GMT+0200 (CEST)
52.22168047,6.8867672,88.2,24,null,0,0,Sat Aug 24 2013 12:48:12 GMT+0200 (CEST)
52.22167983,6.88676759,88.2,24,null,0,0,Sat Aug 24 2013 12:48:13 GMT+0200 (CEST)
52.22163805,6.8867797,83.5,24,null,0,0,Sat Aug 24 2013 12:48:14 GMT+0200 (CEST)
52.22165385,6.88677624,85.3,16,null,0,0,Sat Aug 24 2013 12:48:15 GMT+0200 (CEST)
52.22166438,6.88677263,86.5,16,null,0,0,Sat Aug 24 2013 12:48:16 GMT+0200 (CEST)
52.2216694,6.88677137,87.1,12,null,0,0,Sat Aug 24 2013 12:48:17 GMT+0200 (CEST)
52.22166965,6.88677134,87.1,16,null,0,0,Sat Aug 24 2013 12:48:18 GMT+0200 (CEST)
52.22166966,6.88677134,87.1,12,null,0,0,Sat Aug 24 2013 12:48:19 GMT+0200 (CEST)
52.22166968,6.88677136,87.1,16,null,0,0,Sat Aug 24 2013 12:48:20 GMT+0200 (CEST)
52.22166962,6.88677136,87.1,16,null,0,0,Sat Aug 24 2013 12:48:21 GMT+0200 (CEST)
52.22166957,6.88677136,87.1,16,null,0,0,Sat Aug 24 2013 12:48:22 GMT+0200 (CEST)
52.22166953,6.88677138,87.1,16,null,0,0,Sat Aug 24 2013 12:48:23 GMT+0200 (CEST)
52.2216695,6.88677138,87.1,16,null,0,0,Sat Aug 24 2013 12:48:24 GMT+0200 (CEST)
52.22166945,6.88677138,87.1,16,null,0,0,Sat Aug 24 2013 12:48:25 GMT+0200 (CEST)
52.22166939,6.88677138,87.1,16,null,0,0,Sat Aug 24 2013 12:48:26 GMT+0200 (CEST)
52.22166929,6.88677139,87.1,16,null,0,0,Sat Aug 24 2013 12:48:27 GMT+0200 (CEST)
52.22166916,6.88677142,87.1,16,null,0,0,Sat Aug 24 2013 12:48:28 GMT+0200 (CEST)
52.2210014,6.8866561,null,1266,null,null,null,Sat Aug 24 2013 12:48:11 GMT+0200 (CEST)
52.22166913,6.88677144,87.1,24,null,0,0,Sat Aug 24 2013 12:48:29 GMT+0200 (CEST)
52.22166914,6.88677145,87.1,24,null,0,0,Sat Aug 24 2013 12:48:30 GMT+0200 (CEST)
52.22166913,6.88677145,87.1,24,null,0,0,Sat Aug 24 2013 12:48:31 GMT+0200 (CEST)
52.22166895,6.88677146,87,32,null,0,0,Sat Aug 24 2013 12:48:32 GMT+0200 (CEST)
52.22166886,6.88677146,87,48,null,0,0,Sat Aug 24 2013 12:48:33 GMT+0200 (CEST)
52.22166885,6.88677146,87,48,null,0,0,Sat Aug 24 2013 12:48:34 GMT+0200 (CEST)
52.22166877,6.88677146,87,48,null,0,0,Sat Aug 24 2013 12:48:35 GMT+0200 (CEST)
52.22166869,6.88677146,87,48,null,0,0,Sat Aug 24 2013 12:48:36 GMT+0200 (CEST)
52.22166864,6.88677144,87,64,null,0,0,Sat Aug 24 2013 12:48:37 GMT+0200 (CEST)
52.22166858,6.88677144,87,64,null,0,0,Sat Aug 24 2013 12:48:38 GMT+0200 (CEST)
52.22166853,6.88677143,87,64,null,0,0,Sat Aug 24 2013 12:48:39 GMT+0200 (CEST)
52.22166849,6.88677141,87,48,null,0,0,Sat Aug 24 2013 12:48:40 GMT+0200 (CEST)
52.22166835,6.88677141,87,48,null,0,0,Sat Aug 24 2013 12:48:41 GMT+0200 (CEST)
52.22166827,6.88677141,87,48,null,0,0,Sat Aug 24 2013 12:48:42 GMT+0200 (CEST)
52.22166811,6.88677141,87,48,null,0,0,Sat Aug 24 2013 12:48:43 GMT+0200 (CEST)
52.22166795,6.8867714,87,48,null,0,0,Sat Aug 24 2013 12:48:44 GMT+0200 (CEST)
52.22166783,6.88677144,86.9,48,null,0,0,Sat Aug 24 2013 12:48:45 GMT+0200 (CEST)
