Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1, 50,52.22116380929947,6.895009037107229,69.60000000000002,10,null,68.11000061035156,0.8125,1377335828000
2,C,52.22144204657525,6.897578090429306,98.10000000000002,15,null,110.83999633789062,0.5,1377336062000
3,geel,52.2164442948997,6.902562053874135,92,5,null,246.6999969482422,0.4375,1377337017000
4,martin meijers,52.21695777028799,6.899379780516028,102.39999999999998,5,null,139.44000244140625,0.4375,1377337379000
5,C,52.217171508818865,6.89913896843791,92.20000000000005,5,null,201.99000549316406,0.75,1377337652000
6,A,52.21788028255105,6.899094292894006,87.20000000000005,5,null,253.0800018310547,0.4375,1377337941000
7,A,52.21937251277268,6.899936255067587,79.20000000000005,5,null,111.44999694824219,0.0625,1377338557000
8,C,52.21942116972059,6.898901257663965,79.29999999999995,5,null,286.510009765625,0.1875,1377338732000
9,blauw,52.21946488134563,6.898078238591552,86.39999999999998,5,null,254.7899932861328,0.25,1377338830000
10,A,52.21825470216572,6.894911555573344,69.89999999999998,5,null,219.9199981689453,1,1377339153000
