Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2209034,6.89548612,88.5,33,null,null,0,1377335883000
2,C,52.22090573,6.89548558,88.19999694824219,33,null,null,0,1377335902000
3,D,52.22132834,6.89522846,89.80000305175781,4,null,null,0,1377335999000
4,C,52.22124912,6.89524802,92.19999694824219,5,null,null,0,1377336121000
5,Dienst Uitvoering Onderwijs,52.21867347,6.88940501,77,4,null,null,0,1377336566000
6,D,52.2203995,6.88770497,78.9000015258789,4,null,null,0,1377336763000
7,D,52.22188908,6.88838746,79.80000305175781,3,null,null,0,1377336910000
8,2000,52.22188954,6.8883872,79.80000305175781,3,null,null,0,1377336930000
9,C,52.22189003,6.88838797,79.9000015258789,3,null,null,0,1377337085000
10,D,52.2218901,6.88838798,80,3,null,null,0,1377337122000
