Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,1,50,52.2223821,6.8940497,null,1053,null,null,null,1377335474130
2,D,52.2223821,6.8940497,null,1053,null,null,null,1377335474130
3,D,52.2223821,6.8940497,null,1053,null,null,null,1377335474130
4,2001,52.2223821,6.8940497,null,1053,null,null,null,1377335474130
5,B,52.22198946867138,6.896717939525843,null,47.38394546508789,null,164,0.2777777910232544,1377335873000
6,B,52.22180749755353,6.896616015583277,91,38.42898178100586,null,246,0.2777777910232544,1377335957000
7,C,52.22150474321097,6.8974916730076075,88,8.39564037322998,null,126,1.1453070640563965,1377336013000
8,C,52.22150474321097,6.8974916730076075,88,8.39564037322998,null,126,1.1453070640563965,1377336013000
9,1,00,52.219783226028085,6.89612559042871,94,9.003864288330078,null,115,0,1377336536000
10,blauw,52.21930080559105,6.896252492442727,82,10.561503410339355,null,166,0,1377336655000
11,C,52.219195696525276,6.896222652867436,100,5.094005584716797,null,161,1.4163943529129028,1377336685000
12,A,52.21921774093062,6.896267998963594,98,2.1000006198883057,null,198,0,1377336762000
13,Martin Meijers,52.21665736287832,6.899309037253261,128,17.706844329833984,null,160,0.2777777910232544,1377337249000
14,A,52.21702943556011,6.899141315370798,95,4.747514247894287,null,200,0.8333333730697632,1377337329000
15,C,52.217013677582145,6.899146931245923,92,4.641001224517822,null,200,0,1377337339000
16,B,52.219969681464136,6.894402354955673,101,3.4577603340148926,null,220,0.5555555820465088,1377338038000
17,Dienst uitvoering onderwijs,52.21991628874093,6.89439338631928,95,3.9199626445770264,null,195,0.8784104585647583,1377338092000
18,C,52.21988720353693,6.89424435608089,82,18.547456741333008,null,195,0,1377338113000
19,C,52.21994361374527,6.894368827342987,92,6.94466495513916,null,203,0.5555555820465088,1377338162000
20,C,52.21989671699703,6.8943616189062595,77,5.094005584716797,null,240,0,1377338181000
