Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22041631750535,6.897328584275161,141.32017883412098,48,null,null,null,1377335526935
2,C,52.22141110154524,6.897563753437149,159.37807088194333,128,null,null,0,1377335864691
3,B,52.222335507213565,6.895442061335138,98.10142596892577,6,null,173.91116333007812,0.3668845295906067,1377336252999
4,C,52.22199987735768,6.896597659824114,96.9267774493311,6,null,302.3697204589844,0,1377336471000
5,D,52.22250385354915,6.889809834600168,94.87382467244797,16,null,256.53277587890625,0,1377337120999
6,D,52.2200955431474,6.886944990316253,82.95078199528757,6,null,17.249813079833984,0,1377337869000
7,D,52.22222332793315,6.895061274402134,-114.40144415502809,128,null,null,0,1377338650014
8,dienst uitvoering onderwijs,52.222098942423614,6.895324554904463,105.99091244733341,4,null,null,0,1377338692999
9,C,52.2215522531616,6.895321359652561,102.99560474388132,6,null,null,0,1377338742999
10,B,52.22021909530298,6.89328385384098,113.28087744352297,48,null,null,0,1377339353305
11,1, 00,52.219948786598884,6.895989309004152,94.9096234820442,6,null,null,0,1377339645000
12,C,52.21978621818406,6.896159485584983,94.01364733504637,6,null,null,0,1377339675000
13,blauw,52.219265381799865,6.896278153649103,93.53621440277239,6,null,165.75827026367188,0,1377339781000
14,C,52.21885812005978,6.896296392355182,93.173548807934,6,null,157.89764404296875,0.7467994689941406,1377339856000
15,C,52.21818626359649,6.896611650618381,102.836537661114,6,null,161.98963928222656,0,1377339930000
16,martin meijers,52.216824784832774,6.89923642507052,88.17506900194783,8,null,188.02700805664062,0,1377340357999
17,blauw,52.21684027335004,6.899242705373071,91.24988637087387,12,null,188.02700805664062,0,1377340504999
18,B,52.21684027335004,6.899242705373071,90.87443995757307,6,null,188.02700805664062,0,1377340517999
19,C,52.21685117012313,6.899234695704472,91.91739815300097,6,null,188.02700805664062,0,1377340582999
20,C,52.21685117012313,6.899234695704472,91.91739815300097,6,null,188.02700805664062,0,1377340582999
