Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22068373579532,6.895346911624074,52,10,null,278,0.18765000998973846,1377335930000
2,C,52.2205888107419,6.8954194989055395,100.79998779296875,15,null,323,0,1377335944000
3,A,52.2205888107419,6.8954194989055395,100.79998779296875,10,null,323,0,1377335955000
4,oranje,52.216941551305354,6.902748299762607,114.70001220703125,10,null,350,0.5004000067710876,1377337783000
5,Martin meijers,52.2168354364112,6.902659954503179,134,10,null,116,0,1377337815000
6,A,52.21780815627426,6.899373242631555,93.5999755859375,15,null,325,1.0008000135421753,1377338362000
7,C,52.217774209566414,6.899636434391141,105.0999755859375,15,null,120,0.2502000033855438,1377338472000
8,blauw,52.21775141078979,6.899503832682967,113.20001220703125,5,null,129,0.18765000998973846,1377338657000
9,A,52.217702963389456,6.899515734985471,114.29998779296875,15,null,161,0.3127500116825104,1377338661000
10,1,00,52.219723924063146,6.896230112761259,98.29998779296875,10,null,281,0.8756999969482422,1377339544000
11,B,52.21965577919036,6.895950911566615,103.20001220703125,10,null,182,0.18765000998973846,1377339678000
12,C,52.21953558269888,6.895736670121551,98.9000244140625,5,null,278,1.1884499788284302,1377339690000
13,Dienst uitvoering onderwijs,52.21963599789888,6.895807748660445,141.5,15,null,256,0,1377339710000
