Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.220566021849436,6.895474858767119,92.88294201881777,32,null,65.82428741455078,0.1346849650144577,1377335795807
2,C,52.22061745143439,6.895365363574496,112.70889584807642,4,null,null,0,1377335809999
3,A,52.22061745143439,6.895365363574496,112.70889584807642,4,null,null,0,1377335809999
4,oranje,52.216472874681685,6.902549096771801,97.28378163983501,12,null,1.1485083103179932,0,1377337763999
5,martin meijers,52.21647287468169,6.9025490967718,97.05136363793375,6,null,1.1485083103179932,0,1377337778999
6,A,52.21778813568466,6.89937113301629,94.3881561856193,12,null,145.78285217285156,0,1377338347999
7,C,52.2180506104187,6.8994898166030785,111.44028521174594,12,null,353.8611145019531,0,1377338476999
8,blauw,52.21796836921945,6.89953476220496,109.44353625004979,12,null,152.1866455078125,0,1377338542999
9,A,52.21796836921945,6.89953476220496,109.44353625004979,12,null,152.1866455078125,0,1377338542999
10,1,00,52.22015925580416,6.8961159981418545,102.28561356926487,24,null,null,null,1377339556620
11,C,52.219709579737795,6.8960843169567765,98.8862123923863,4,null,null,0,1377339656999
12,C,52.219594262345545,6.89610257593133,98.07243027218331,8,null,null,1.3616212606430054,1377339678999
13,dienst uitvoering onderwijs,52.21956461651604,6.896118530681529,96.84693069865057,6,null,null,0,1377339690999
14,B,52.22710440135275,6.882281747913295,79.34992255917231,6,null,43.152706146240234,0,1377341195000
15,D,52.227414279053406,6.882731220926792,81.46998495900164,6,null,119.19161987304688,0.8217644691467285,1377341368000
16,D,52.22740336242956,6.882794718037348,80.6262066919547,8,null,88.87967681884766,0.880861759185791,1377341375000
17,D,52.227381714987494,6.882879923198383,80.08958067967833,6,null,143.44528198242188,0.9284788966178894,1377341385000
18,B,52.22732665489596,6.882899486568397,80.13335714783878,8,null,158.06910705566406,0,1377341407000
19,C,52.227296305287226,6.882945590410689,77.08451762466034,8,null,279.4476318359375,0,1377341435000
20,D,52.227296305287226,6.882945590410689,77.08451762466034,8,null,279.4476318359375,0,1377341435000
