Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22041393711822,6.896245111663887,143,20,null,null,0,Sat Aug 24 2013 11:13:09 GMT+0200 (CEST)
2,1,50,52.22111260109859,6.895240683892945,105,10,null,4.232121467590332,0,Sat Aug 24 2013 11:16:29 GMT+0200 (CEST)
3,D,52.22136715115491,6.895205518464106,93,10,null,25.697837829589844,0,Sat Aug 24 2013 11:17:23 GMT+0200 (CEST)
4,B,52.222350875947036,6.895824911450304,108,10,null,252.36643981933594,0.4307917654514313,Sat Aug 24 2013 11:21:05 GMT+0200 (CEST)
5,B,52.22203675583414,6.896645303433136,111,10,null,6.029192924499512,0,Sat Aug 24 2013 11:23:57 GMT+0200 (CEST)
6,2000,52.22564051564882,6.891360801621568,86,15,null,355.0820007324219,0,Sat Aug 24 2013 11:33:57 GMT+0200 (CEST)
7,D,52.2234663,6.8914965,null,1377,null,null,null,Sat Aug 24 2013 11:40:22 GMT+0200 (CEST)
8,D,52.2234663,6.8914965,null,1377,null,null,null,Sat Aug 24 2013 11:48:02 GMT+0200 (CEST)
9,dienst uitvoering onderwijs,52.218462719294756,6.8894989576864365,101,10,null,202.9398651123047,0,Sat Aug 24 2013 11:54:07 GMT+0200 (CEST)
10,B,52.22006778489603,6.894287087907898,116,10,null,344.9308166503906,0,Sat Aug 24 2013 12:04:21 GMT+0200 (CEST)
