Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2199018,6.8960806,null,883,null,null,null,Sat Aug 24 2013 11:13:05 GMT+0200 (CEST)
2,1,50,52.2199022,6.8961273,null,795,null,null,null,Sat Aug 24 2013 11:14:03 GMT+0200 (CEST)
3,D,52.2199022,6.8961273,null,795,null,null,null,Sat Aug 24 2013 11:14:03 GMT+0200 (CEST)
4,B,52.2199022,6.8961273,null,795,null,null,null,Sat Aug 24 2013 11:14:03 GMT+0200 (CEST)
5,B,52.222776888705496,6.896635643398529,91.09977472240263,64,null,0,1.4061279296875,Sat Aug 24 2013 11:24:17 GMT+0200 (CEST)
6,2000,52.22590772397971,6.891156212093212,89.90217973312667,64,null,19.13875389099121,0,Sat Aug 24 2013 11:34:14 GMT+0200 (CEST)
7,D,52.22270432619406,6.889901614983258,112.70001849080658,80.81254577636719,null,227.0137481689453,0,Sat Aug 24 2013 11:42:15 GMT+0200 (CEST)
8,D,52.22033298,6.8872901,116.1,16,null,0,0,Sat Aug 24 2013 11:49:11 GMT+0200 (CEST)
9,dienst uitvoering onderwijs,52.2175801,6.889475,null,827,null,null,null,Sat Aug 24 2013 11:54:11 GMT+0200 (CEST)
10,B,52.220111527949875,6.894310017812262,89.80014635376568,48,null,145.51319885253906,0,Sat Aug 24 2013 12:04:35 GMT+0200 (CEST)
11,C,52.21601191,6.89066446,102.1,8,null,110.69999694824219,0.5,Sat Aug 24 2013 12:12:48 GMT+0200 (CEST)
