Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.2207735,6.896314,null,21,null,null,null,1377335560715
2,1,50,52.220788,6.8955232,null,45,null,null,null,1377335785670
3,D,52.22143644,6.89526655,95.5999984741211,6,null,null,0,1377335822411
4,B,52.22242548,6.89587595,122.80000305175781,14,null,null,0,1377336063015
5,B,52.22206665,6.89673452,104,5,null,null,0,1377336233011
6,2000,52.22564257,6.8914437,87.5999984741211,6,null,null,0,1377336833403
7,C,52.22294144,6.89068501,86.0999984741211,10,null,314.79998779296875,1.25,1377337276391
8,D,52.22034201,6.88729514,86.9000015258789,6,null,null,0,1377337731400
9,Dienst Uitvoering Onderwijs,52.21854403,6.88931933,82.5,6,null,null,0,1377338025484
10,B,52.2199048,6.89436758,81,7,null,null,0,1377338636385
11,C,52.21600106,6.89072324,79.30000305175781,14,null,null,0,1377339155252
12,Oranje,52.2165149,6.90253656,96.4000015258789,11,null,null,0,1377339819379
13,Martin Meijers,52.21702895,6.89927725,88.19999694824219,16,null,null,0,1377340039441
14,A,52.21704728,6.89928424,89.19999694824219,5,null,null,0,1377340075403
15,C,52.21704728,6.89928424,89.19999694824219,5,null,null,0,1377340075403
16,C,52.21704728,6.89928424,89.19999694824219,5,null,null,0,1377340075403
17,Blauw,52.21927531,6.89671645,79.9000015258789,12,null,null,0,1377340835434
18,1,00,52.22003041,6.89592897,86.69999694824219,26,null,339.5,2,1377340970785
19,D,52.22108099,6.89536621,90.5999984741211,16,null,333.79998779296875,1,1377341284419
20,A,52.22102591,6.89528877,76.9000015258789,14,null,null,0,1377341367410
