Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,C,52.22064572,6.89633681,90.80000305175781,7,null,139.8000030517578,0.55901700258255,1377335542425
2,1,50,52.22106162,6.895284,89.19999694824219,5,null,null,0,1377335761365
3,D,52.22137072,6.89523583,88.9000015258789,5,null,null,0,1377335837335
4,B,52.22235943,6.89595437,118.4000015258789,6,null,262.6000061035156,1.1180340051651,1377336062405
5,D,52.22237936,6.89678998,88.5,6,null,156.1999969482422,1,1377336196030
6,2000,52.22564309,6.89143495,81.5,5,null,336.79998779296875,0.75,1377336816133
7,D,52.22233658,6.88979506,91.69999694824219,8,null,172.6999969482422,0.9013878107070923,1377337326060
8,D,52.22038114,6.88714664,85.80000305175781,6,null,307.79998779296875,0.5,1377337705387
9,Dienst Uitvoering Onderwijs,52.21847206,6.88930458,67.9000015258789,11,null,null,0,1377338024053
10,B,52.22003459,6.89426863,81.30000305175781,7,null,null,0,1377338636399
11,C,52.21609519,6.89081686,94,9,null,54.70000076293945,1.25,1377339156463
12,oranje,52.21645581,6.90239194,91.5,10,null,null,0,1377339795514
13,martin meijers,52.21713737,6.89937036,122.30000305175781,11,null,null,0,1377340050007
14,A,52.21713812,6.89936727,122.69999694824219,10,null,null,0,1377340066028
15,C,52.21738138,6.89780263,105.0999984741211,43,null,null,0,1377340464430
16,C,52.21736671,6.89771701,110.69999694824219,11,null,null,0,1377340483420
17,blauw,52.21918764,6.89675246,90.19999694824219,6,null,null,0,1377340861009
