Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp
1,D,52.22013286,6.8955287,89.80000305175781,9,null,null,0,1377368306411
2,B,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419
3,C,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419
4,C,52.22013028,6.89553795,92.30000305175781,7,null,null,0,1377368332419
5,B,52.22030145,6.89538762,103,6,null,349.20001220703125,1,1377368380427
6,oranje,52.22031365,6.89529876,104,5,null,null,0,1377368391443
7,martin meijers,52.22031424,6.89499401,101.30000305175781,10,null,272.6000061035156,1.25,1377368408443
8,C,52.22031027,6.89472369,101.30000305175781,9,null,262.3999938964844,0.5,1377368417476
9,A,52.22010289,6.8945063,101.80000305175781,7,null,247,1.5811388492584229,1377368431430
10,C,52.22007777,6.89441978,104.80000305175781,6,null,268.3999938964844,0.5,1377368437424
11,dienst uitvoering onderwijs,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
12,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
13,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
14,2000,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
15,D,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
16,B,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
17,1,00,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
18,blauw,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
19,C,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
20,C,52.22007517,6.89442029,104.80000305175781,5,null,null,0,1377368440432
